bin.68.fa	Bacteria_100;Proteobacteria_84;Alphaproteobacteria_51
bin.100.fa	Bacteria_100
bin.99.fa	Bacteria_92
bin.130.fa	Bacteria_99;Proteobacteria_98;Betaproteobacteria_95;Burkholderiales_99;Burkholderiaceae_98
bin.21.fa	Bacteria_98
bin.37.fa	Bacteria_100
bin.80.fa	Bacteria_99
bin.16.fa	Bacteria_98
bin.30.fa	Bacteria_99
bin.116.fa	Bacteria_99;Proteobacteria_89;Alphaproteobacteria_84;Rhizobiales_87
bin.123.fa	Bacteria_96
bin.25.fa	Bacteria_98;Proteobacteria_68;Deltaproteobacteria_73;Myxococcales_97
bin.54.fa	Bacteria_99;Proteobacteria_66;Deltaproteobacteria_57;Myxococcales_92
bin.12.fa	Bacteria_99;Actinobacteria_58;Actinobacteria_97
bin.22.fa	Bacteria_98
bin.32.fa	Bacteria_100;Proteobacteria_76
bin.79.fa	Bacteria_97
bin.58.fa	Bacteria_100
bin.52.fa	Bacteria_100;Proteobacteria_85
bin.81.fa	Bacteria_98
bin.48.fa	Bacteria_97
bin.97.fa	Bacteria_99;Proteobacteria_65;Deltaproteobacteria_52;Myxococcales_97
bin.82.fa	Bacteria_97
bin.98.fa	Bacteria_100
bin.14.fa	Bacteria_99;Bacteroidetes_61
bin.78.fa	Bacteria_99
bin.27.fa	Bacteria_100;Proteobacteria_100;Betaproteobacteria_98;Burkholderiales_100;Comamonadaceae_99
bin.64.fa	Bacteria_99
bin.133.fa	Bacteria_97
bin.132.fa	Bacteria_97
bin.46.fa	Bacteria_99;Bacteroidetes_96;Sphingobacteriia_91;Sphingobacteriales_100;Sphingobacteriaceae_100
bin.73.fa	Bacteria_99
bin.2.fa	Bacteria_99
bin.61.fa	Bacteria_99;Proteobacteria_76;Betaproteobacteria_53
bin.103.fa	Bacteria_99;Proteobacteria_77
bin.4.fa	Bacteria_97
bin.120.fa	Bacteria_99
bin.108.fa	Bacteria_100;Proteobacteria_76
bin.137.fa	Bacteria_87
bin.45.fa	Bacteria_96
bin.105.fa	Bacteria_100;Candidatus Woesebacteria_58;Candidatus Woesebacteria bacterium GW2011_GWF1_31_35_100
bin.115.fa	Bacteria_94;Proteobacteria_60
bin.57.fa	Bacteria_98
bin.113.fa	Bacteria_91
bin.33.fa	Bacteria_99
bin.24.fa	Bacteria_95
bin.106.fa	Bacteria_97
bin.77.fa	Bacteria_100
bin.34.fa	Bacteria_99
bin.72.fa	Bacteria_98
bin.20.fa	Bacteria_99;Verrucomicrobia_88;Opitutae_95;Opitutales_100;Opitutaceae_100
bin.17.fa	Bacteria_99;Gemmatimonadetes_52;Gemmatimonadetes_96;Gemmatimonadales_100;Gemmatimonadaceae_100
bin.94.fa	Bacteria_97;Proteobacteria_66
bin.112.fa	Bacteria_99;Proteobacteria_78
bin.55.fa	Bacteria_99;Bacteroidetes_64
bin.15.fa	Bacteria_99;Actinobacteria_89;Actinobacteria_100
bin.47.fa	Bacteria_99;Proteobacteria_82;Betaproteobacteria_57;Burkholderiales_73
bin.7.fa	Bacteria_99
bin.101.fa	Bacteria_99
bin.129.fa	Bacteria_97
bin.39.fa	Bacteria_99
bin.53.fa	Bacteria_99;Proteobacteria_99;Betaproteobacteria_94;Burkholderiales_99;Burkholderiaceae_98
bin.50.fa	Bacteria_95
bin.28.fa	Bacteria_93;Bacteroidetes_79
bin.43.fa	Bacteria_97
bin.23.fa	Bacteria_93;Proteobacteria_52
bin.38.fa	Bacteria_100
bin.10.fa	Bacteria_88
bin.62.fa	Bacteria_99;Proteobacteria_71;Deltaproteobacteria_68;Myxococcales_95
bin.118.fa	Bacteria_99
bin.18.fa	Bacteria_99
bin.104.fa	Bacteria_95
bin.107.fa	Bacteria_82
bin.93.fa	Bacteria_98
bin.29.fa	Bacteria_100;Proteobacteria_86
bin.84.fa	Bacteria_100;Proteobacteria_73
bin.8.fa	Bacteria_94;Bacteroidetes_58
bin.71.fa	Bacteria_100
bin.60.fa	Bacteria_98
bin.44.fa	Bacteria_100
bin.51.fa	Bacteria_97
bin.5.fa	Bacteria_98;Proteobacteria_64;Deltaproteobacteria_61;Myxococcales_98
bin.136.fa	Bacteria_96
bin.87.fa	Bacteria_100;Proteobacteria_80;Betaproteobacteria_53
bin.83.fa	Bacteria_98
