#samples	n_lines
ERR011166	372828
ERR011161	2943081
ERR011111	4155992
ERR011293	472708
ERR011125	9930100
ERR011334	8911468
ERR011149	2592999
ERR011151	3057859
ERR011159	3399414
ERR011210	2806423
ERR011276	3045693
ERR011243	4401438
ERR011201	2822968
ERR011193	2689768
ERR011195	2915492
ERR011284	4172565
ERR011302	4063995
ERR011190	3761563
ERR011306	5378019
ERR011335	4753375
ERR011229	5227926
ERR011278	2701306
ERR011336	6122285
ERR011157	2415714
ERR011244	5422399
ERR011282	3229724
ERR011203	3689617
ERR011197	4382841
ERR011163	5746592
ERR011246	6008934
ERR011296	6294967
ERR011089	4185445
ERR011305	6002716
ERR011231	5471357
ERR011126	4774296
ERR011286	5311390
ERR011281	4062338
ERR011233	6841445
ERR011131	4836525
ERR011342	5506700
ERR011280	3215667
ERR011143	4161140
ERR011294	6943307
ERR011114	4950800
ERR011176	7625374
ERR011262	7677551
ERR011300	5997932
ERR011240	7659419
ERR011165	8117089
ERR011340	8708401
ERR011117	5069815
ERR011185	8485333
ERR011227	6921123
ERR011326	8608981
ERR011235	8172991
ERR011189	7770649
ERR011129	7658647
ERR011187	8419572
ERR011274	7511396
ERR011130	8290135
ERR011290	7075857
ERR011338	9121576
ERR011225	7833677
ERR011327	8623723
ERR011164	8503299
ERR011154	7321392
ERR011171	9184436
ERR011136	7811714
ERR011242	8253204
ERR011097	9720013
ERR011254	8422355
ERR011259	7735908
ERR011238	8534971
ERR011216	7195928
ERR011105	8887813
ERR011179	8650992
ERR011133	8643613
ERR011175	10336516
ERR011162	8982053
ERR011170	9573409
ERR011146	8695521
ERR011183	8901465
ERR011142	8746125
ERR011271	9100250
ERR011100	9381465
ERR011132	8926188
ERR011297	4837081
ERR011303	9314930
ERR011137	9739897
ERR011128	9522198
ERR011099	9443876
ERR011152	10285435
ERR011320	7657623
ERR011140	9900958
ERR011213	9931134
ERR011091	7880090
ERR011107	9227459
ERR011141	9184797
ERR011331	11308472
ERR011211	10511593
ERR011268	9454529
ERR011312	9390402
ERR011209	10521096
ERR011098	9631675
ERR011177	10887925
ERR011207	10985655
ERR011319	9523009
ERR011323	8708062
ERR011087	11283787
ERR011124	9887153
ERR011158	9699346
ERR011318	9464958
ERR011139	9855206
ERR011110	10432379
ERR011298	7920434
ERR011325	8966160
ERR011206	8435014
ERR011144	8194684
ERR011287	9786574
ERR011215	11121156
ERR011330	8366020
ERR011116	10978679
ERR011223	8283332
ERR011096	9260992
ERR011345	9540843
ERR011222	9143528
ERR011095	10630390
ERR011205	11468612
ERR011135	9109101
ERR011094	9372190
ERR011349	11442938
ERR011307	11808165
ERR011204	8579293
ERR011256	4438616
ERR011328	9777635
ERR011301	11479927
ERR011088	10700720
ERR011252	4114940
ERR011090	10497444
ERR011173	11105100
ERR011214	8810020
ERR011212	7998488
ERR011266	10522998
ERR011178	8612509
ERR011313	9252856
ERR011226	10883982
ERR011275	10356834
ERR011283	11611611
ERR011186	9088098
ERR011260	10034969
ERR011234	10863347
ERR011119	10829843
ERR011219	11438336
ERR011273	10078407
ERR011221	6872653
ERR011317	9686769
ERR011180	8953955
ERR011304	10675898
ERR011314	10669782
ERR011258	3289867
ERR011315	8875334
ERR011339	11476823
ERR011218	8362215
ERR011295	11204804
ERR011292	7000934
ERR011332	9853041
ERR011184	10996498
ERR011198	11248521
ERR011192	10677446
ERR011324	8747155
ERR011127	9474399
ERR011289	8306540
ERR011196	10773671
ERR011230	10705969
ERR011134	8279075
ERR011241	10554167
ERR011344	10345873
ERR011093	10243657
ERR011188	11433033
ERR011263	11151309
ERR011156	10210916
ERR011269	11284994
ERR011255	8492579
ERR011224	11425714
ERR011236	10811707
ERR011267	6938479
ERR011265	11178857
ERR011182	6495205
ERR011247	10830732
ERR011310	9938179
ERR011200	9400882
ERR011239	10532827
ERR011261	10701516
ERR011092	4469235
ERR011341	11098573
ERR011257	10110678
ERR011113	10281578
ERR011150	11327292
ERR011155	8043934
ERR011232	11351648
ERR011169	7812713
ERR011279	11755268
ERR011348	10438629
ERR011343	10505638
ERR011118	10107658
ERR011350	10109973
ERR011174	7534498
ERR011299	11512881
ERR011109	4870771
ERR011167	8056114
ERR011288	7139794
ERR011322	7986535
ERR011199	10060727
ERR011248	7823825
ERR011145	9206397
ERR011308	7422345
ERR011112	9024170
ERR011321	8393823
ERR011153	7802179
ERR011329	9905792
ERR011191	9539105
ERR011147	9338314
ERR011337	11353564
ERR011160	10356722
ERR011104	14589150
ERR011291	8407756
ERR011217	10341304
ERR011250	7516941
ERR011316	10645296
ERR011121	15548054
ERR011277	9240759
ERR011123	15198010
ERR011347	12044408
ERR011102	14998229
ERR011208	9871022
ERR011172	8210803
ERR011270	10779278
ERR011285	11081715
ERR011272	15696215
ERR011311	10990133
ERR011120	15130644
ERR011264	8419166
ERR011249	10927587
ERR011115	10363123
ERR011106	9390990
ERR011194	9432646
ERR011108	9597764
ERR011168	10682105
ERR011251	11087896
ERR011346	8261127
ERR011181	10386057
ERR011237	11506218
ERR011309	9843370
ERR011138	8113049
ERR011148	10181491
ERR011245	10854300
ERR011103	15335371
ERR011333	9977642
ERR011101	14309244
ERR011220	10788575
ERR011202	10466385
ERR011228	11018873
ERR011253	10843283
ERR011122	15069060
