#samples	n_lines
SRR2053300	1098800
SRR2053305	2426663
SRR2053298	8399228
SRR2053308	3768033
SRR2053281	2429280
SRR2053307	4410884
SRR2053294	5813927
SRR2053289	5185162
SRR2053275	2906176
SRR2053283	7051871
SRR2053280	5055431
SRR2053295	9023562
SRR2053303	7762186
SRR2053299	10772731
SRR2053278	7875952
SRR2053279	12738083
SRR2053304	11543575
SRR2053297	13289152
SRR2053282	11453635
SRR2053273	9151922
SRR2053288	10225168
SRR2053293	20476804
SRR2053284	10068499
SRR2053286	14354613
SRR2053296	24388195
SRR2053306	23060233
SRR2053301	13301801
SRR2053274	13249931
SRR2053290	23831237
SRR2053287	24066051
SRR2053302	30501413
SRR2053277	27353485
SRR2053276	15382169
SRR2053292	32183454
SRR2053285	22663529
SRR2053291	30242958
