genome	precision	recall	predicted_size	correctly_predicted	real_size
1030869	1.0	1.0	1534116	1534116	1534116
1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553
1030905	1.0	0.9994141906608559	3110111	3110111	3111934
1220_E	0.9997702345764806	0.9990489191445325	7276987	7275315	7282241
1287_BN	1.0	0.9989920377080145	4748363	4748363	4753154
1036680	0.9979836345634696	0.9989367531311123	4477363	4468335	4473091
1035939	1.0	0.9986937614295875	1597924	1597924	1600014
1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416
1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085
1035906	0.998677786658836	0.9975859126473707	2547244	2543876	2550032
1220_A	1.0	0.9973911316577343	3857105	3857105	3867194
1048885	0.9997853059047739	0.997211110902873	12240672	12238044	12272270
1035969	0.9833751092752444	0.9958816265607091	3653618	3592877	3607735
1139_CF	1.0	0.9954019117343688	6041138	6041138	6069044
1030881	1.0	0.995340490936899	3286465	3286465	3301850
1035951	0.998901430452803	0.9953004579950547	2724452	2721459	2734309
1021_AP	0.9980940526722244	0.9951130740022576	6657057	6644369	6676999
1139_CJ	0.9968220375481066	0.9934462691935593	4643856	4629098	4659636
1139_CO	1.0	0.9934260035299287	5710767	5710767	5748558
1049032	1.0	0.9932997059399333	4469949	4469949	4500101
1035993	0.9983593221561855	0.9925668943641817	2772025	2767477	2788202
1053040	1.0	0.9919158608804453	7084150	7084150	7141886
1036635	1.0	0.9918788637201553	3241842	3241842	3268385
1287_W	0.9972929864761648	0.9917784133499953	4184316	4172989	4207582
1030968	1.0	0.9905422096200955	4583323	4583323	4627085
1285_AD	1.0	0.9903099376314637	5666192	5666192	5721635
1036704	1.0	0.9901246821514567	4109963	4109963	4150955
1052950	0.9971439597607579	0.9896347790074383	5387179	5371793	5428056
1053049	0.9975178592402734	0.9896152015000029	6547171	6530920	6599454
1036701	0.9854885815701864	0.9895018836858162	2241683	2209153	2232591
1286_BV	1.0	0.9887342545683928	4313545	4313545	4362694
1030782	0.9566646863165893	0.9875824416066434	2474310	2367085	2396848
1287_BO	1.0	0.9874505636231294	5351829	5351829	5419845
1036800	0.9849764528904159	0.9868037970234121	4132779	4070690	4125126
1036629	1.0	0.9858787188028978	2421118	2421118	2455797
1220_CF	0.9996921487163238	0.9855128211511166	4554147	4552745	4619671
1036683	1.0	0.9849790857978669	4762366	4762366	4834992
1030737	1.0	0.9842034314328164	3602344	3602344	3660162
1036566	0.9984562135253326	0.983334215120893	2903899	2899416	2948556
1220_X	1.0	0.9830447019057427	3576063	3576063	3637742
1036695	0.9994493153975499	0.9818680284622514	3330400	3328566	3390034
1139_BF	0.9986884533075869	0.9817479426302937	6218612	6210456	6325917
1049035	1.0	0.9787787377862527	3087997	3087997	3154949
1048939	1.0	0.9781867644393712	2893093	2893093	2957608
1035981	1.0	0.9777313684886145	1998611	1998611	2044131
1030740	1.0	0.9734709778668474	3170961	3170961	3257376
1030806	1.0	0.971742420161318	3968460	3968460	4083860
1030896	1.0	0.9689941380902894	2893307	2893307	2985887
1048861	0.979392590844263	0.9686611613957066	9634593	9436049	9741331
1049083	0.9993568159865359	0.9610263528175137	4790231	4787150	4981289
1053055	1.0	0.9582603162931059	4816431	4816431	5026224
1036803	1.0	0.9574393343294842	4944098	4944098	5163876
1052941	1.0	0.9502605385583193	5205417	5205417	5477884
1285_CF	1.0	0.9500946594349168	3729741	3729741	3925652
1036614	1.0	0.9450061494528255	2348895	2348895	2485587
1036716	1.0	0.9317071256979378	2446116	2446116	2625413
1052953	0.9941634129909452	0.9183170999116507	3844370	3821932	4161887
1048870	0.9763700894493605	0.9083508051339441	9924498	9689983	10667666
1285_BD	1.0	0.8967984452191119	2985981	2985981	3329601
1285_AK	0.9826092861257089	0.8833656261459578	4182347	4109613	4652222
1036785	1.0	0.8701985284478073	4334458	4334458	4980999
1220_AO	0.9833203027154322	0.7872153775991082	5924508	5825689	7400375
1139_AA	0.8975895629141999	0.7213335269883691	3258994	2925239	4055321
1030812	0.9899418058305635	0.6899400201335547	2583764	2557776	3707244
1036557	0.9492300287751896	0.668787614052717	2437169	2313434	3459146
1048978	0.7859069878300724	0.5503439178157163	2525734	1984992	3606821
1048945	NA	0.0	0	0	7222220
1139_AL	NA	0.0	0	0	4823186
1030716	NA	0.0	0	0	1857974
1036011	NA	0.0	0	0	738955
1030776	NA	0.0	0	0	2645012
1036782	NA	0.0	0	0	2937124
1053031	NA	0.0	0	0	3800076
1048942	NA	0.0	0	0	7189318
1049011	NA	0.0	0	0	3845886
1139_AF	NA	0.0	0	0	4512274
1036731	NA	0.0	0	0	2472183
1030800	NA	0.0	0	0	424499
