genome	precision	recall	predicted_size	correctly_predicted	real_size
evo_1286_AP.033	0.9871456149104363	0.9994431893340254	3136595	3096276	3098001
1286_AP	0.9992151506573242	0.9752734850967639	2903742	2901463	2975025
evo_1049056.013	NA	0.0	0	0	3515086
evo_1286_AP.008	NA	0.0	0	0	3383934
1052944	NA	0.0	0	0	5188144
evo_1035930.029	NA	0.0	0	0	2412130
evo_1049056.015	NA	0.0	0	0	3365233
1049056	NA	0.0	0	0	3262395
1053058	NA	0.0	0	0	5189366
1035930	NA	0.0	0	0	2197372
evo_1049056.011	NA	0.0	0	0	3354404
evo_1049056.039	NA	0.0	0	0	2699770
evo_1049056.031	NA	0.0	0	0	3375491
evo_1035930.032	NA	0.0	0	0	2294831
1052947	NA	0.0	0	0	4767044
evo_1286_AP.026	NA	0.0	0	0	3210938
evo_1035930.011	NA	0.0	0	0	2260928
evo_1286_AP.037	NA	0.0	0	0	3082966
