genome	precision	recall	predicted_size	correctly_predicted	real_size
1285_BH	1.0	1.0	4566533	4566533	4566533
evo_1286_AP.033	1.0	0.9959896720498154	3085577	3085577	3098001
1036539	0.9986504691375042	0.9918908807062301	4643095	4636829	4674737
1030752	1.0	0.9915878721612712	6224913	6224913	6277722
1220_AD	1.0	0.9913242212470104	3450527	3450527	3480725
1030755	1.0	0.9907782056396436	4572379	4572379	4614937
1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813
1036608	1.0	0.9897998780944881	3137337	3137337	3169668
1030836	0.9932727014038064	0.9892079698949381	4877738	4844924	4897781
1036641	1.0	0.9825836236569563	2584868	2584868	2630685
1049089	1.0	0.9796731352317279	3060782	3060782	3124289
1030878	1.0	0.949913220869689	3123536	3123536	3288233
1036755	1.0	0.949620931300412	6138099	6138099	6463736
1049005	1.0	0.9471733636688736	3890830	3890830	4107833
1036554	1.0	0.8988888608649923	2387865	2387865	2656463
1048783	1.0	0.8719959101672697	2113344	2113344	2423571
1365_A	0.9794530631476359	0.8183042975339476	5861993	5741547	7016396
1036743	0.9927941223952448	0.7478173308850671	3840476	3812802	5098574
1048993	0.9737213228629156	0.5744267450977586	2143563	2087233	3633593
evo_1035930.029	NA	0.0	0	0	2412130
evo_1035930.032	NA	0.0	0	0	2294831
1052947	NA	0.0	0	0	4767044
1036728	NA	0.0	0	0	2012577
evo_1286_AP.008	NA	0.0	0	0	3383934
1053058	NA	0.0	0	0	5189366
evo_1286_AP.037	NA	0.0	0	0	3082966
1052944	NA	0.0	0	0	5188144
evo_1049056.031	NA	0.0	0	0	3375491
1220_AJ	NA	0.0	0	0	2614190
1036707	NA	0.0	0	0	4004609
1049056	NA	0.0	0	0	3262395
evo_1035930.011	NA	0.0	0	0	2260928
evo_1049056.039	NA	0.0	0	0	2699770
evo_1049056.013	NA	0.0	0	0	3515086
1286_AP	NA	0.0	0	0	2975025
1035930	NA	0.0	0	0	2197372
evo_1049056.011	NA	0.0	0	0	3354404
1035900	NA	0.0	0	0	7279109
evo_1049056.015	NA	0.0	0	0	3365233
evo_1286_AP.026	NA	0.0	0	0	3210938
