genome	precision	recall	predicted_size	correctly_predicted	real_size
1049029	0.9966003025802463	1.0	4041242	4027503	4027503
1030743	1.0	1.0	3607646	3607646	3607646
1030746	1.0	1.0	3547923	3547923	3547923
1220_K	1.0	0.9998007728567985	3874202	3874202	3874974
1048582	0.953860443000302	0.9997327892957051	5812908	5544703	5546185
1048879	0.9996112194681611	0.9997202828021096	9349748	9346113	9348728
1287_H	1.0	0.9997138082450929	4041587	4041587	4042744
1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912
1048927	1.0	0.9995179914702538	4929071	4929071	4931448
1365_H	0.9939371729785906	0.9993080825302809	3443773	3422894	3425264
1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566
1048888	1.0	0.9992942130214687	8631071	8631071	8637167
1048930	0.9332707846260702	0.9992635845509749	4719522	4404592	4407838
1286_AW	0.9993917573280773	0.9992239627878936	3608757	3606562	3609363
1048912	1.0	0.9990842712637128	5610058	5610058	5615200
1030794	0.9643014471125907	0.9990156770681745	9756670	9408371	9417641
1030791	0.9117313011837692	0.9989931351830247	4676165	4263406	4267703
1030857	0.9776573886097688	0.9989868644858356	5537043	5413331	5418821
1036563	0.9995335151428162	0.998898834905855	3706444	3704715	3708799
1048774	0.994683517193983	0.9986858480192193	3978194	3957044	3962251
1287_Y	0.9057896116077906	0.9986456763446703	4445635	4026810	4032271
1021_AG	1.0	0.998607751237965	3919122	3919122	3924586
1030929	0.9575719295651802	0.9986033188446212	6114419	5854996	5863185
1053046	1.0	0.9985868875505964	5372719	5372719	5380322
1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776
1220_AM	0.9985098786657233	0.9985110458770291	3421869	3416770	3421865
1286_M	1.0	0.9984594063599735	3884714	3884714	3890708
1048924	1.0	0.998416038761582	5039477	5039477	5047472
1036575	0.9908508375493323	0.9983195780142736	5642593	5590968	5600379
1036647	1.0	0.998296353912348	3992843	3992843	3999657
1035984	1.0	0.9981263034762484	2774857	2774857	2780066
1030947	0.9497788925320259	0.9980256987306689	9830966	9337244	9355715
1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031
1285_L	0.9997217310825114	0.9978690526337856	5523434	5521897	5533689
1030761	0.9993908359125354	0.9978619517458144	3027099	3025255	3031737
1285_H	1.0	0.9978147910059949	3622840	3622840	3630774
1220_Y	0.9730150996957554	0.9977811009944407	3696697	3596942	3604941
1049059	0.9867609848088389	0.9977575743369214	4356744	4299065	4308727
1139_BV	1.0	0.997750078382171	3812425	3812425	3821022
1220_BT	0.9996073426433033	0.9977247128783857	4059519	4057925	4067179
1048762	0.7367003678336156	0.9976900832706197	4434070	3266581	3274144
1036719	0.9892718176348366	0.9976376101174123	6672985	6601396	6617028
1036638	0.9976066548935775	0.9975944546492942	1635368	1631454	1635388
1286_V	1.0	0.9975549715057224	6049723	6049723	6064551
1048855	0.9990614827135433	0.9973208421344112	4729801	4725362	4738056
1036590	0.9987971240917187	0.9973000319777016	4184139	4179106	4190420
1048576	0.9678865486732154	0.9972988030784852	2999771	2903438	2911302
1021_O	0.9354443156634945	0.997183147080051	6935981	6488224	6506552
1286_AU	1.0	0.9971116602625956	4519961	4519961	4533054
1220_BE	1.0	0.9970621592247868	4805367	4805367	4819526
1048960	1.0	0.9970169243102757	3896389	3896389	3908047
1035909	0.9581823329941894	0.996993580831655	2952532	2829064	2837595
1286_AE	0.9996704632139148	0.9968635621995855	4703572	4702022	4716816
1220_L	0.9779089551555563	0.9967894197634348	10944299	10702528	10737000
1048657	0.9982889996159086	0.9965663923596545	3819403	3812868	3826005
1285_I	0.992142871879209	0.9964665116356171	3392970	3366311	3378248
1285_BE	0.9995640404543185	0.9961253240133294	4693096	4691050	4709297
1036656	0.6884615563910064	0.9961108926384084	4933863	3396775	3410037
1048867	1.0	0.9961059806960832	7067099	7067099	7094726
1285_BL	0.9843719167473102	0.9959866156715413	4545727	4474686	4492717
1285_BW	0.9989710570002599	0.995885308934939	5656290	5650470	5673816
1139_BG	0.955469566548834	0.9958669743740616	6008520	5740958	5764784
1048903	0.9997065131082394	0.9955693451963487	5346065	5344496	5368281
1021_T	1.0	0.9955029094747364	3449989	3449989	3465574
1035924	0.7474089673234576	0.9954591321897074	1161506	868120	872080
1048999	1.0	0.9953882390073779	7896825	7896825	7933412
1030911	0.9232685785167409	0.9953555010626778	2157317	1991783	2001077
1139_AQ	0.9988102077292043	0.9951860939376085	4386480	4381261	4402454
1049211	0.9449868537615161	0.9951471830374411	3735289	3529799	3547012
1220_AF	0.9848397040852299	0.9951162824614413	4572668	4503345	4525446
1030725	1.0	0.9950551492047764	3358337	3358337	3375026
1030845	0.9123898286792724	0.9950427340109611	7227380	6594188	6627040
1049071	0.9933820407208972	0.9950281047284913	4978574	4945626	4970338
1021_A	0.7932451664733247	0.9947327223620563	3655871	2900002	2915358
1048876	0.9978455141901565	0.9946266587661	8967801	8948480	8996823
1036797	1.0	0.9945392846344299	4361558	4361558	4385506
1036551	0.9924057188161151	0.9945206447282642	3120506	3096808	3113870
1030758	1.0	0.9942965875203064	2961754	2961754	2978743
1139_G	0.999611179966905	0.9942367006631511	6182809	6180405	6216231
1220_AB	0.9679581616765709	0.9942006280173549	4108004	3976376	3999571
1287_D	1.0	0.9940852381229922	4349277	4349277	4375155
1048777	1.0	0.9940488761426994	6952017	6952017	6993637
1285_E	1.0	0.9940396758430323	4132712	4132712	4157492
1036770	0.9984214296145367	0.9939364779651073	2300816	2297184	2311198
1049077	0.9729063798445604	0.9937651721876002	4293114	4176798	4203003
1139_BI	1.0	0.9937597218143099	4774293	4774293	4804273
1286_CF	1.0	0.9936276116558421	4019643	4019643	4045422
1036758	0.99691492569009	0.9936076487874209	4016759	4004367	4030129
1287_C	0.9995382654878617	0.9934126980099384	4112753	4110854	4138113
1285_BN	0.937090395604862	0.9932864816785711	4759623	4460197	4490343
1030731	0.9973179468755491	0.993234828148051	3050648	3042466	3063189
1220_CD	0.989959376002329	0.9929861177590785	6244831	6182129	6225796
1139_AO	1.0	0.9928569619668605	5331904	5331904	5370264
1036008	0.9003477332969366	0.9928518794602708	3868482	3482979	3508055
1287_BR	0.6835029309598649	0.9927574608870179	8348289	5706080	5747708
1048981	0.9484307492369882	0.9925793539615323	4493705	4261968	4293831
1220_I	0.992820855813677	0.9923745299077747	6728100	6679798	6731126
1030893	1.0	0.9923153702849135	2902969	2902969	2925450
1286_AB	0.9800587671344059	0.9921472568680743	4854414	4757611	4795267
1049023	0.9845799391345151	0.992085917375626	5964957	5872977	5919827
1049062	1.0	0.9920541691277072	3302090	3302090	3328538
1021_BF	1.0	0.9920099160443336	6023262	6023262	6071776
1287_AG	1.0	0.9919920274712808	3834320	3834320	3865273
1220_BK	0.9995083805915603	0.9915507469266757	3685778	3683966	3715358
1139_AS	0.9989647955255095	0.9914039618526386	6248041	6241573	6295691
1035915	0.9960641683240041	0.9913411185075061	1268601	1263608	1274645
1220_V	1.0	0.9913050354506642	6255451	6255451	6310319
1035975	0.9995109464245658	0.9912885482218575	6232446	6229398	6284142
