genome	precision	recall	predicted_size	correctly_predicted	real_size
1030905	0.9982219596167029	1.0	3117477	3111934	3111934
1036785	0.9968301954155808	1.0	4996838	4980999	4980999
1030896	0.9730929296550376	1.0	3068450	2985887	2985887
1030740	0.9982556293647573	1.0	3263068	3257376	3257376
1030869	0.9413677763616739	1.0	1629667	1534116	1534116
1048939	1.0	0.9999049907898545	2957327	2957327	2957608
1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553
1049035	0.9843225374098211	0.999554667920147	3203771	3153544	3154949
1220_E	0.9979446475344751	0.9994400075471274	7293153	7278163	7282241
1287_BN	0.9673864126011394	0.9989920377080145	4908445	4748363	4753154
1036704	0.9860118856523197	0.9988662849874306	4205070	4146249	4150955
1035939	0.9767022811178211	0.9986937614295875	1636040	1597924	1600014
1053040	0.9837845034599176	0.9984022427689269	7248005	7130475	7141886
1286_AF	0.9850282490540985	0.9983504260771608	4844056	4771532	4779416
1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085
1220_A	0.9694151107895087	0.9977104846563167	3980070	3858340	3867194
1048885	0.9950090370041539	0.997211110902873	12299430	12238044	12272270
1139_CF	0.9966951586869608	0.9959881655166778	6064739	6044696	6069044
1035969	0.8925899085939749	0.9958816265607091	4025227	3592877	3607735
1220_X	0.9692567142524446	0.9953597588833952	3735710	3620862	3637742
1285_AD	0.9987401385847556	0.9950730866264625	5700627	5693445	5721635
1021_AP	0.9660470248335205	0.9948490332258549	6876069	6642606	6676999
1139_CO	0.9985394056405016	0.9939831867400486	5722328	5713970	5748558
1049032	0.8835295612542752	0.9935277008227149	5060357	4470975	4500101
1139_CJ	1.0	0.9934462691935593	4629098	4629098	4659636
1035993	0.9980959844448922	0.9930611196749733	2774137	2768855	2788202
1036680	0.9971137559362546	0.9922919073186751	4451460	4438612	4473091
1030881	0.9971027812691157	0.9922891712221936	3285910	3276390	3301850
1036635	0.8922263536107755	0.9918788637201553	3633430	3241842	3268385
1030737	0.9831858522140587	0.9916768711330264	3691772	3629698	3660162
1036701	0.9791504814422207	0.9912993468127391	2260292	2213166	2232591
1220_CF	0.9954486785661859	0.9908274853339123	4598225	4577297	4619671
1030782	0.8180391502782369	0.9903932164242372	2901844	2373822	2396848
1036629	0.9993195270651428	0.9896897015510647	2432132	2430477	2455797
1287_W	0.9884851571899108	0.9888596348211396	4209176	4160708	4207582
1287_BO	0.9856046180083551	0.9879323117174015	5432645	5354440	5419845
1036803	0.9852715686276405	0.9866474330522267	5171087	5094925	5163876
1036683	1.0	0.9858529238517871	4766591	4766591	4834992
1036800	0.9268357288160939	0.9856440748718949	4386868	4065906	4125126
1035981	0.9841342865537932	0.9847534233373497	2045417	2012965	2044131
1139_BF	0.9927743149018765	0.9835200177302358	6266949	6221666	6325917
1048861	0.9778360045371767	0.9792045871349613	9754965	9538756	9741331
1036614	0.9148915445403031	0.9749266471058949	2648691	2423265	2485587
1053049	0.9981280973426615	0.9748961050414171	6445848	6433782	6599454
1053055	0.9968737007100972	0.9664551361021714	4872854	4857620	5026224
1035951	0.982566437284252	0.9597949609938013	2670940	2624376	2734309
1285_CF	0.9822917113842347	0.9500946594349168	3796979	3729741	3925652
1036716	0.9983799204142995	0.9384359717880577	2467780	2463782	2625413
1036566	1.0	0.9378265157589003	2765234	2765234	2948556
1052950	0.9997061177579587	0.9268786099480182	5032628	5031149	5428056
1285_BD	0.971203293381309	0.9016912236631356	3091291	3002272	3329601
1049083	0.8825744685862237	0.8726303573231747	4925164	4346824	4981289
1052953	0.9898683645510438	0.8407844806934931	3535066	3499250	4161887
1285_AK	0.9944840115964136	0.7892594119541156	3692176	3671810	4652222
1220_AO	0.8802249393817843	0.6407959056128912	5387407	4742130	7400375
1048978	0.7858746807137043	0.5588977107541516	2565096	2015844	3606821
1139_AA	0.5540789986953625	0.36601911414657434	2678905	1484325	4055321
1052941	NA	0.0	0	0	5477884
1048945	NA	0.0	0	0	7222220
1036695	NA	0.0	0	0	3390034
1139_AL	NA	0.0	0	0	4823186
1030716	NA	0.0	0	0	1857974
1036011	NA	0.0	0	0	738955
1030776	NA	0.0	0	0	2645012
1036782	NA	0.0	0	0	2937124
1048870	NA	0.0	0	0	10667666
1035906	NA	0.0	0	0	2550032
1053031	NA	0.0	0	0	3800076
1048942	NA	0.0	0	0	7189318
1049011	NA	0.0	0	0	3845886
1036557	NA	0.0	0	0	3459146
1030806	NA	0.0	0	0	4083860
1139_AF	NA	0.0	0	0	4512274
1286_BV	NA	0.0	0	0	4362694
1030968	NA	0.0	0	0	4627085
1030812	NA	0.0	0	0	3707244
1036731	NA	0.0	0	0	2472183
1030800	NA	0.0	0	0	424499
