genome	precision	recall	predicted_size	correctly_predicted	real_size
1049005	0.9984580148107386	1.0	4114177	4107833	4107833
1285_BH	1.0	1.0	4566533	4566533	4566533
1036554	0.9960864785470835	0.9997154110559793	2666141	2655707	2656463
1220_AD	0.9805215361791672	0.9984086648614872	3544222	3475186	3480725
1036539	0.9730227747460728	0.9977632966303773	4793599	4664281	4674737
1030836	0.9927798472310553	0.9972793801927853	4919979	4884456	4897781
1030878	0.9204511616147428	0.9964409456385847	3559700	3276530	3288233
1030752	1.0	0.9956100317917869	6250163	6250163	6277722
1030755	0.9906943363805902	0.995468410511346	4637176	4594024	4614937
1049089	1.0	0.993540930432492	3104109	3104109	3124289
1139_AG	0.997169692898299	0.9932753149881702	7249390	7228872	7277813
1036755	0.9947483040379738	0.9913907374929917	6441919	6408088	6463736
1036641	0.8504610116343526	0.9856086912724252	3048730	2592826	2630685
1048783	0.8787453086214473	0.9769084545078316	2694304	2367607	2423571
1036728	0.9424959063728803	0.8599874688024359	1836391	1730791	2012577
1036707	0.8637614312569417	0.8210671753472062	3806668	3288053	4004609
1036743	0.9521983740562929	0.5273735362083595	2823837	2688853	5098574
1220_AJ	NA	0.0	0	0	2614190
1036608	NA	0.0	0	0	3169668
1365_A	NA	0.0	0	0	7016396
1035900	NA	0.0	0	0	7279109
1048993	NA	0.0	0	0	3633593
