genome	precision	recall	predicted_size	correctly_predicted	real_size
1030896	0.978796100795556	1.0	3050571	2985887	2985887
1220_E	0.9995933102280417	0.9990489191445325	7278275	7275315	7282241
1036680	0.9979836345634696	0.9989367531311123	4477363	4468335	4473091
1036785	0.9910895103265055	0.9987233484688514	5019365	4974640	4980999
1035969	0.943937804151193	0.9986839388147966	3816975	3602987	3607735
1030968	0.994486958307838	0.9961511405128715	4634828	4609276	4627085
1035951	0.998901430452803	0.9953004579950547	2724452	2721459	2734309
1035981	0.8955694278359918	0.9943486987869172	2269594	2032579	2044131
1285_AD	0.9997548204429096	0.9934634068758318	5685629	5684235	5721635
1036614	0.9988234661060733	0.9932297682599724	2471667	2468759	2485587
1036704	0.932688018192501	0.9912278017950086	4411488	4114542	4150955
1035906	0.9720314400745942	0.9876813310578063	2591088	2518619	2550032
1036566	1.0	0.9849349986908846	2904136	2904136	2948556
1049083	0.999357041078418	0.9613630126659987	4791908	4788827	4981289
1285_BD	1.0	0.9559995326767381	3183097	3183097	3329601
1048870	0.9737353659984874	0.949225913147262	10399155	10126025	10667666
1036716	1.0	0.9438290280424452	2477941	2477941	2625413
1052953	0.9941634129909452	0.9183170999116507	3844370	3821932	4161887
1285_AK	0.9826092861257089	0.8833656261459578	4182347	4109613	4652222
1036557	0.8572329209636269	0.8470885588523873	3418211	2930203	3459146
1220_AO	0.9833203027154322	0.7872153775991082	5924508	5825689	7400375
1030812	0.9899418058305635	0.6899400201335547	2583764	2557776	3707244
1036782	NA	0.0	0	0	2937124
1139_AF	NA	0.0	0	0	4512274
1139_CJ	NA	0.0	0	0	4659636
1030737	NA	0.0	0	0	3660162
1048942	NA	0.0	0	0	7189318
1052974	NA	0.0	0	0	3644343
1021_AP	NA	0.0	0	0	6676999
1021_P	NA	0.0	0	0	4398201
1220_BB	NA	0.0	0	0	5505638
1139_BF	NA	0.0	0	0	6325917
1286_BD	NA	0.0	0	0	3028188
1030740	NA	0.0	0	0	3257376
1049011	NA	0.0	0	0	3845886
evo_1030728.035	NA	0.0	0	0	2456477
evo_1286_G.034	NA	0.0	0	0	3248924
1048945	NA	0.0	0	0	7222220
1030806	NA	0.0	0	0	4083860
1030869	NA	0.0	0	0	1534116
1036011	NA	0.0	0	0	738955
1286_AF	NA	0.0	0	0	4779416
1048861	NA	0.0	0	0	9741331
1036629	NA	0.0	0	0	2455797
1048939	NA	0.0	0	0	2957608
1220_BD	NA	0.0	0	0	7278798
1053040	NA	0.0	0	0	7141886
1287_BN	NA	0.0	0	0	4753154
1036731	NA	0.0	0	0	2472183
1287_BC	NA	0.0	0	0	9206646
1287_BD	NA	0.0	0	0	4294193
1286_Y	NA	0.0	0	0	3842440
1030881	NA	0.0	0	0	3301850
1139_B	NA	0.0	0	0	4627616
1052968	NA	0.0	0	0	3864443
evo_1035921.028	NA	0.0	0	0	3148129
1139_AW	NA	0.0	0	0	5592814
1220_CF	NA	0.0	0	0	4619671
1139_CO	NA	0.0	0	0	5748558
1036701	NA	0.0	0	0	2232591
evo_1030728.009	NA	0.0	0	0	2473538
1053031	NA	0.0	0	0	3800076
1048966	NA	0.0	0	0	3666425
1049035	NA	0.0	0	0	3154949
1036803	NA	0.0	0	0	5163876
evo_1139_Y.035	NA	0.0	0	0	7152816
evo_1035921.030	NA	0.0	0	0	3117417
1052965	NA	0.0	0	0	2364702
1139_Y	NA	0.0	0	0	7149702
1036800	NA	0.0	0	0	4125126
evo_1030728.011	NA	0.0	0	0	2509968
1053055	NA	0.0	0	0	5026224
1052959	NA	0.0	0	0	2512984
1139_AL	NA	0.0	0	0	4823186
1285_BO	NA	0.0	0	0	3571323
1053004	NA	0.0	0	0	2625737
1035993	NA	0.0	0	0	2788202
1052941	NA	0.0	0	0	5477884
1035921	NA	0.0	0	0	2810991
1286_BU	NA	0.0	0	0	2936314
1049032	NA	0.0	0	0	4500101
1286_BV	NA	0.0	0	0	4362694
1036683	NA	0.0	0	0	4834992
1052950	NA	0.0	0	0	5428056
1220_AX	NA	0.0	0	0	4247520
1021_C	NA	0.0	0	0	9221387
1036695	NA	0.0	0	0	3390034
1035939	NA	0.0	0	0	1600014
1287_N	NA	0.0	0	0	4486165
1021_AS	NA	0.0	0	0	5575404
1220_X	NA	0.0	0	0	3637742
1053022	NA	0.0	0	0	3684135
1053034	NA	0.0	0	0	2535447
1285_CK	NA	0.0	0	0	3460922
1052998	NA	0.0	0	0	2511226
1030716	NA	0.0	0	0	1857974
1048978	NA	0.0	0	0	3606821
1286_G	NA	0.0	0	0	3315992
evo_1030728.038	NA	0.0	0	0	2456863
1036635	NA	0.0	0	0	3268385
evo_1139_Y.018	NA	0.0	0	0	7291951
1285_BV	NA	0.0	0	0	2939605
1052992	NA	0.0	0	0	6919094
evo_1035921.008	NA	0.0	0	0	3020708
1139_T	NA	0.0	0	0	5520095
1139_AA	NA	0.0	0	0	4055321
1053049	NA	0.0	0	0	6599454
1285_BF	NA	0.0	0	0	4166553
1052995	NA	0.0	0	0	6855845
1220_AR	NA	0.0	0	0	4490990
1048885	NA	0.0	0	0	12272270
1285_AC	NA	0.0	0	0	3461926
evo_1035921.007	NA	0.0	0	0	3113636
evo_1286_G.010	NA	0.0	0	0	3139809
1287_BO	NA	0.0	0	0	5419845
1052977	NA	0.0	0	0	3600968
1286_AO	NA	0.0	0	0	3907241
1220_A	NA	0.0	0	0	3867194
1021_AQ	NA	0.0	0	0	5680893
1139_CF	NA	0.0	0	0	6069044
1030728	NA	0.0	0	0	2576408
1053028	NA	0.0	0	0	3765620
1287_W	NA	0.0	0	0	4207582
evo_1030728.001	NA	0.0	0	0	2415603
1030905	NA	0.0	0	0	3111934
1053037	NA	0.0	0	0	2727700
1030782	NA	0.0	0	0	2396848
1285_CG	NA	0.0	0	0	3733085
1285_CF	NA	0.0	0	0	3925652
1030776	NA	0.0	0	0	2645012
1053025	NA	0.0	0	0	3762331
1030800	NA	0.0	0	0	424499
