genome	precision	recall	predicted_size	correctly_predicted	real_size
1030869	1.0	1.0	1534116	1534116	1534116
1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553
1220_E	0.9997702345764806	0.9990489191445325	7276987	7275315	7282241
1287_BN	1.0	0.9989920377080145	4748363	4748363	4753154
1035939	1.0	0.9986937614295875	1597924	1597924	1600014
1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416
1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085
1048885	0.9926284234920436	0.9976101405852381	12333861	12242941	12272270
1035906	0.998677786658836	0.9975859126473707	2547244	2543876	2550032
1220_A	1.0	0.9973911316577343	3857105	3857105	3867194
1053040	1.0	0.997362881457363	7123052	7123052	7141886
1139_CF	1.0	0.9954019117343688	6041138	6041138	6069044
1030881	1.0	0.995340490936899	3286465	3286465	3301850
1021_AP	0.9980940526722244	0.9951130740022576	6657057	6644369	6676999
1036629	0.997252621569249	0.9941481319506458	2448152	2441426	2455797
1035969	1.0	0.9935322300556998	3584401	3584401	3607735
1139_CJ	0.9968220375481066	0.9934462691935593	4643856	4629098	4659636
1049032	0.9965332731096361	0.9932997059399333	4485499	4469949	4500101
1035993	0.9983593221561855	0.9925668943641817	2772025	2767477	2788202
1036680	0.9937216020146757	0.9922409358539765	4466426	4438384	4473091
1287_W	0.9972929864761648	0.9917784133499953	4184316	4172989	4207582
1139_BF	0.9673674712335669	0.9912543904701879	6482121	6270593	6325917
1030968	0.9985089867100696	0.9905422096200955	4590167	4583323	4627085
1285_AD	1.0	0.9903099376314637	5666192	5666192	5721635
1036704	1.0	0.9901246821514567	4109963	4109963	4150955
1052950	0.9971439597607579	0.9896347790074383	5387179	5371793	5428056
1053049	0.9975178592402734	0.9896152015000029	6547171	6530920	6599454
1286_BV	1.0	0.9887342545683928	4313545	4313545	4362694
1030782	0.9566646863165893	0.9875824416066434	2474310	2367085	2396848
1036800	0.9849764528904159	0.9868037970234121	4132779	4070690	4125126
1030737	1.0	0.9842034314328164	3602344	3602344	3660162
1036566	0.9984562135253326	0.983334215120893	2903899	2899416	2948556
1220_X	1.0	0.9830447019057427	3576063	3576063	3637742
1049035	1.0	0.9787787377862527	3087997	3087997	3154949
1030905	1.0	0.9785490309241777	3045180	3045180	3111934
1048939	1.0	0.9781867644393712	2893093	2893093	2957608
1035981	1.0	0.9777313684886145	1998611	1998611	2044131
1036701	1.0	0.9776327146351481	2182654	2182654	2232591
1030740	1.0	0.9734709778668474	3170961	3170961	3257376
1030806	1.0	0.971742420161318	3968460	3968460	4083860
1030896	1.0	0.9689941380902894	2893307	2893307	2985887
1048861	0.979392590844263	0.9686611613957066	9634593	9436049	9741331
1053055	1.0	0.9582603162931059	4816431	4816431	5026224
1036803	0.9976187973160874	0.9574393343294842	4955899	4944098	5163876
1052941	1.0	0.9502605385583193	5205417	5205417	5477884
1285_CF	1.0	0.9500946594349168	3729741	3729741	3925652
1035951	1.0	0.9497796335381261	2596991	2596991	2734309
1139_CO	0.9991248123126216	0.9490665311196304	5460543	5455764	5748558
1036614	1.0	0.9450061494528255	2348895	2348895	2485587
1287_BO	1.0	0.9327536119575375	5055380	5055380	5419845
1285_BD	0.9948677347755034	0.9238758638047021	3092007	3076138	3329601
1220_CF	0.9972911074562184	0.909613693269499	4213530	4202116	4619671
1036635	1.0	0.9061062267756094	2961504	2961504	3268385
1049083	0.9456853288027479	0.899305581346515	4736989	4479701	4981289
1052953	0.9766787999047878	0.8912452452457262	3797832	3709262	4161887
1036785	1.0	0.8701985284478073	4334458	4334458	4980999
1036716	1.0	0.8605198496388949	2259220	2259220	2625413
1036695	0.998800841575947	0.8437204464615989	2863675	2860241	3390034
1139_AA	0.8425309467184237	0.7229718683181923	3479852	2931883	4055321
1036557	0.890025682338082	0.6710335441175366	2608018	2321203	3459146
1048945	NA	0.0	0	0	7222220
1220_AO	NA	0.0	0	0	7400375
1139_AL	NA	0.0	0	0	4823186
1030716	NA	0.0	0	0	1857974
1048978	NA	0.0	0	0	3606821
1036011	NA	0.0	0	0	738955
1285_AK	NA	0.0	0	0	4652222
1030776	NA	0.0	0	0	2645012
1036782	NA	0.0	0	0	2937124
1048870	NA	0.0	0	0	10667666
1053031	NA	0.0	0	0	3800076
1048942	NA	0.0	0	0	7189318
1036683	NA	0.0	0	0	4834992
1049011	NA	0.0	0	0	3845886
1139_AF	NA	0.0	0	0	4512274
1030812	NA	0.0	0	0	3707244
1036731	NA	0.0	0	0	2472183
1030800	NA	0.0	0	0	424499
