genome	precision	recall	predicted_size	correctly_predicted	real_size
1052998	1.0	1.0	2511226	2511226	2511226
evo_1035921.028	0.957835566164849	0.9996585273348074	3285589	3147054	3148129
1053028	0.9963886118773305	0.997918802215837	3771403	3757783	3765620
1220_AX	1.0	0.9978194334576411	4238258	4238258	4247520
1021_AS	0.9996969873634374	0.9964910166151189	5557524	5555840	5575404
1053022	0.9975465787286284	0.9964721705366388	3680167	3671138	3684135
1048966	0.9591360890607739	0.9959622793320468	3807198	3651621	3666425
1053037	0.9670440812902189	0.9930575209883785	2801075	2708763	2727700
1287_N	1.0	0.9909383627218348	4445513	4445513	4486165
1052968	1.0	0.9891340097395666	3822452	3822452	3864443
1021_P	1.0	0.9885421334768466	4347807	4347807	4398201
evo_1030728.001	0.9739295568767862	0.98192749388041	2435440	2371947	2415603
1220_AR	0.9909745549565	0.9804083286758599	4443105	4403004	4490990
1021_AQ	0.9951046677098022	0.9793296582069051	5590836	5563467	5680893
1139_B	1.0	0.9757953123163201	4515606	4515606	4627616
1030728	0.9993624916831612	0.9753400858870179	2514477	2512874	2576408
1286_G	0.9882313905496058	0.9736296106866361	3266996	3228548	3315992
evo_1035921.030	0.9992047430313545	0.9713352432478555	3030467	3028057	3117417
1035921	0.994866600206387	0.9699127460742493	2740484	2726416	2810991
1287_BD	0.9982026636462397	0.9690887205116304	4168947	4161454	4294193
1052977	0.9405698295997444	0.9674318127792305	3703809	3483691	3600968
evo_1286_G.034	0.9908363114888398	0.9399792054230878	3082165	3053921	3248924
evo_1030728.038	0.9298372864263135	0.7805921616305019	2062520	1917808	2456863
evo_1139_Y.035	1.0	0.7013748151776866	5016805	5016805	7152816
1052992	0.986834022462195	0.7007105265515976	4912966	4848282	6919094
1053034	0.9954698374482808	0.3939936429355455	1003496	998950	2535447
evo_1030728.011	NA	0.0	0	0	2509968
1139_Y	NA	0.0	0	0	7149702
1021_C	NA	0.0	0	0	9221387
1286_BU	NA	0.0	0	0	2936314
1052959	NA	0.0	0	0	2512984
evo_1035921.007	NA	0.0	0	0	3113636
1053025	NA	0.0	0	0	3762331
evo_1035921.008	NA	0.0	0	0	3020708
1286_AO	NA	0.0	0	0	3907241
1052965	NA	0.0	0	0	2364702
evo_1030728.035	NA	0.0	0	0	2456477
1286_Y	NA	0.0	0	0	3842440
1053004	NA	0.0	0	0	2625737
1220_BB	NA	0.0	0	0	5505638
1052974	NA	0.0	0	0	3644343
1285_AC	NA	0.0	0	0	3461926
evo_1030728.009	NA	0.0	0	0	2473538
1052995	NA	0.0	0	0	6855845
1220_BD	NA	0.0	0	0	7278798
1139_T	NA	0.0	0	0	5520095
1285_BV	NA	0.0	0	0	2939605
1285_CK	NA	0.0	0	0	3460922
1287_BC	NA	0.0	0	0	9206646
1139_AW	NA	0.0	0	0	5592814
1285_BO	NA	0.0	0	0	3571323
evo_1286_G.010	NA	0.0	0	0	3139809
1286_BD	NA	0.0	0	0	3028188
evo_1139_Y.018	NA	0.0	0	0	7291951
