genome	precision	recall	predicted_size	correctly_predicted	real_size
evo_1036569.031	0.8762337867167418	1.0	3848619	3372290	3372290
1030746	0.9477591207767305	1.0	3743486	3547923	3547923
1030743	0.9899907275307269	1.0	3644121	3607646	3607646
1048999	0.9907130315767916	1.0	8007780	7933412	7933412
1287_H	1.0	0.9997138082450929	4041587	4041587	4042744
1036647	0.9544762788268241	0.9996459696418968	4188937	3998241	3999657
1049029	0.8328632145779223	0.9996181256724079	4833885	4025965	4027503
1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912
1365_D	1.0	0.9995697672584279	2787988	2787988	2789188
1048888	0.9988549564005299	0.9995687243282433	8643339	8633442	8637167
1048777	1.0	0.9994730924696263	6989952	6989952	6993637
1036719	0.9785214601927038	0.9994511130979044	6758560	6613396	6617028
1048582	0.9940499709888108	0.9992924866372109	5575435	5542261	5546185
1286_AW	1.0	0.9992239627878936	3606562	3606562	3609363
1285_L	0.9874767327690314	0.9990490972658564	5598539	5528427	5533689
1053046	0.9956527199535875	0.9990255230077307	5398548	5375079	5380322
1048855	0.9152448344840188	0.9989833383142791	5171555	4733239	4738056
1030872	0.9963898143396113	0.998869917048626	4760143	4742958	4748324
1036797	0.9955874378229875	0.9988637571126342	4399938	4380523	4385506
1285_H	1.0	0.9987561880744987	3626258	3626258	3630774
1048924	0.9997122367218864	0.9986955846411828	5042339	5040888	5047472
1036617	0.9116869842576202	0.9986940667978601	3164007	2884584	2888356
1286_M	0.9947027220245188	0.9984594063599735	3905402	3884714	3890708
1286_CM	1.0	0.998417313086016	3798269	3798269	3804290
1285_M	0.9789015287143259	0.9983193758846592	5303607	5191709	5200449
1286_AT	0.8900291553975154	0.9982360017316081	3982110	3544194	3550457
1036599	0.9810655327265501	0.9981799306276496	4395529	4312302	4320165
1030893	0.9039261865050031	0.9981554974448376	3230412	2920054	2925450
1139_CM	0.9280443508386368	0.9980161376025013	3669288	3405262	3412031
1036770	0.9949153463621022	0.9979088766951165	2318152	2306365	2311198
1048879	0.9996104414967791	0.9977230057393904	9331076	9327441	9348728
1049062	0.9006485562010169	0.9976731525973265	3687113	3320793	3328538
1285_AN	0.9892817247735612	0.9976388838512211	4337265	4290777	4300932
1035987	0.9599369276602362	0.9976183109222665	2109324	2024818	2029652
1036638	0.7682719914934376	0.9975944546492942	2123537	1631454	1635388
1286_CF	0.9655387022906243	0.9974704740321282	4179210	4035189	4045422
1286_AU	0.9929580511462547	0.997451828281772	4553569	4521503	4533054
1021_O	0.9914278053583664	0.9973571255559012	6545465	6489356	6506552
1287_D	0.91108497088047	0.9970252482483478	4787852	4362140	4375155
1035990	0.9954389412625049	0.9968702887382239	5833514	5806907	5825138
1139_AO	1.0	0.9967253006556103	5352678	5352678	5370264
1035975	0.9508340351018406	0.9962885943697644	6584555	6260819	6284142
1139_CK	0.997520029359731	0.9962373375449175	6561368	6545096	6569816
1286_AG	0.9882895551266317	0.9956775763355298	4694954	4639974	4660117
1139_BG	1.0	0.9956577731273193	5739752	5739752	5764784
1139_AR	0.9997328860064321	0.995526156481167	4586057	4584832	4605436
1048948	0.7733606907410515	0.9955102336458269	4976105	3848324	3865680
1021_AH	0.983148393117423	0.9953719572228411	5833687	5735380	5762047
1287_C	0.9515584308767727	0.9952983400888279	4328328	4118657	4138113
1030791	0.9945788586494007	0.9951453978873412	4270134	4246985	4267703
1030725	0.9679443133357698	0.9950551492047764	3469556	3358337	3375026
1286_E	0.9960512099243262	0.995041787023536	5742012	5719338	5747837
1285_BW	0.9921010503230749	0.9950410799363251	5690630	5645680	5673816
1030722	0.897776581903393	0.9949295228844598	3523224	3163068	3179188
1048894	0.9989993430453009	0.9946733249946328	5254548	5249290	5277401
1030965	0.9994219956690795	0.9946315009446972	4742179	4739438	4765019
1048873	0.9997265157905311	0.994431650589753	8720796	8718411	8767230
1220_L	1.0	0.9943647201266648	10676494	10676494	10737000
1287_I	0.9995119906134243	0.9943505919325651	4667943	4665665	4692173
1048990	1.0	0.994302818176627	3256120	3256120	3274777
1030758	0.8190197604237355	0.9942965875203064	3616218	2961754	2978743
1030794	0.974544278158816	0.9941631880000522	9607231	9362672	9417641
1285_E	1.0	0.9940396758430323	4132712	4132712	4157492
1048960	0.9471258415455107	0.9940172162719639	4101531	3884666	3908047
1285_BL	0.990511961033669	0.9939027986850718	4508097	4465324	4492717
1139_AS	0.9764301567780562	0.9938845473832817	6408231	6257190	6295691
1049080	0.9966658478154312	0.9938798737028482	6093903	6073585	6110985
1036578	0.9598210596719663	0.9933593404513017	2831782	2718004	2736174
1287_Y	1.0	0.993267813596854	4005125	4005125	4032271
1220_N	1.0	0.9930014281910651	3647471	3647471	3673178
1048984	0.9948139916476147	0.9928355281669907	6061502	6030067	6073581
1049211	0.9739876854668761	0.992767433546884	3615403	3521358	3547012
1021_BF	0.9998088354845149	0.9923078519365668	6026223	6025071	6071776
1036698	0.8842262551930887	0.9915624989949439	3835386	3391349	3420207
1286_CK	0.9524160891397386	0.991546609618423	5323417	5070108	5113333
1285_U	0.9505389381342398	0.991439648473532	5224069	4965681	5008556
1030713	0.9930686894049909	0.9913178125994209	2478752	2461571	2483130
1030764	0.9970615763567813	0.9911935645230273	4688228	4674452	4715983
1036002	0.9979982170747881	0.9910683961080814	4116830	4108589	4145616
1285_BT	1.0	0.990952516959598	5169611	5169611	5216810
1036008	0.9950377109352123	0.990923175377809	3493549	3476213	3508055
