genome	precision	recall	predicted_size	correctly_predicted	real_size
1030821	0.9900201439570661	0.9995410448351718	4146653	4105270	4107155
1036647	0.9985110460738524	0.9989629110696242	4001467	3995509	3999657
1036770	0.9595994416196527	0.9972780350277215	2401947	2304907	2311198
1035897	1.0	0.9949600908025776	3260922	3260922	3277440
1049023	0.973365302024118	0.9946459584038521	6049252	5888132	5919827
1285_BT	0.9997644687411278	0.994295172720494	5188271	5187049	5216810
1035975	0.9705953274720088	0.993448747657198	6432107	6242973	6284142
1030809	0.9810931698095726	0.9910168508745942	3583414	3515663	3547531
1036656	1.0	0.9902496659127159	3376788	3376788	3410037
1048906	1.0	0.9893307193614364	4433743	4433743	4481558
1030722	0.9963447216912502	0.9884725282053153	3154069	3142540	3179188
1286_AY	0.9977710126459683	0.9852101465108953	3479607	3471851	3523970
1139_AO	1.0	0.9849830473883593	5289619	5289619	5370264
1285_A	1.0	0.9815603408126558	6434396	6434396	6555273
1049038	0.997721838221558	0.9766847100561418	3211800	3204483	3280980
1030803	0.9893478328191605	0.9757912456319145	2292679	2268257	2324531
1036632	1.0	0.9744488573195538	4088841	4088841	4196055
1035972	1.0	0.9708948364880834	2292273	2292273	2360990
1030824	1.0	0.9704176210653667	2051786	2051786	2114333
1036692	1.0	0.9691002576862873	2100017	2100017	2166976
1287_BZ	0.9930678317540872	0.9664588013487303	6672804	6626547	6856523
1030707	0.9962069514344147	0.9622812852634022	3845192	3830607	3980756
1035987	0.8357903792091121	0.9592890800984603	2329559	1947023	2029652
1036794	0.8760400305473489	0.9467691817703404	3786908	3317483	3504004
1035945	0.9986758025964567	0.9443588059981646	2680114	2676565	2834267
1139_BE	0.9555923299886817	0.9418160385926365	6294228	6014716	6386296
1030815	1.0	0.9402691465732788	3347282	3347282	3559919
1287_B	0.9947063900123033	0.9400728806967646	6425105	6391093	6798508
1286_AC	0.9746863249667639	0.9325737089782831	5257830	5124735	5495260
1048957	0.987095828769662	0.9130478852133951	3841936	3792359	4153516
1030788	0.994757337658101	0.8789344986739376	2682225	2668163	3035679
1036617	0.9910890554750783	0.8773790349943013	2556968	2534183	2888356
1036611	NA	0.0	0	0	2647357
1139_AS	NA	0.0	0	0	6295691
1049211	NA	0.0	0	0	3547012
1286_E	NA	0.0	0	0	5747837
1285_Y	NA	0.0	0	0	4966528
1036638	NA	0.0	0	0	1635388
1365_F	NA	0.0	0	0	3690740
1030890	NA	0.0	0	0	3356089
1049071	NA	0.0	0	0	4970338
1048768	NA	0.0	0	0	3337045
1220_AM	NA	0.0	0	0	3421865
1286_AD	NA	0.0	0	0	4323695
1036689	NA	0.0	0	0	6461802
1030785	NA	0.0	0	0	2880893
1287_BR	NA	0.0	0	0	5747708
1285_BW	NA	0.0	0	0	5673816
1035936	NA	0.0	0	0	2518929
1035948	NA	0.0	0	0	3238784
1048774	NA	0.0	0	0	3962251
1285_CH	NA	0.0	0	0	4299563
1030767	NA	0.0	0	0	1419850
1030947	NA	0.0	0	0	9355715
1021_O	NA	0.0	0	0	6506552
1285_CI	NA	0.0	0	0	7575015
1139_AR	NA	0.0	0	0	4605436
1053043	NA	0.0	0	0	4843474
1036605	NA	0.0	0	0	4729287
1036698	NA	0.0	0	0	3420207
1035909	NA	0.0	0	0	2837595
1049062	NA	0.0	0	0	3328538
1049002	NA	0.0	0	0	4919248
1036722	NA	0.0	0	0	2020910
1030764	NA	0.0	0	0	4715983
1139_AQ	NA	0.0	0	0	4402454
1048927	NA	0.0	0	0	4931448
1021_AH	NA	0.0	0	0	5762047
1030749	NA	0.0	0	0	4362870
1048780	NA	0.0	0	0	8235786
1220_AZ	NA	0.0	0	0	6648774
1035999	NA	0.0	0	0	1820943
1035996	NA	0.0	0	0	3568133
1285_AN	NA	0.0	0	0	4300932
1287_CG	NA	0.0	0	0	6602556
1286_BY	NA	0.0	0	0	3938615
1030725	NA	0.0	0	0	3375026
1285_AB	NA	0.0	0	0	4427912
1285_CO	NA	0.0	0	0	4761644
1021_Y	NA	0.0	0	0	5533966
1365_D	NA	0.0	0	0	2789188
1036587	NA	0.0	0	0	3952422
1286_L	NA	0.0	0	0	5083162
1030710	NA	0.0	0	0	4594950
1220_AL	NA	0.0	0	0	4651645
1036548	NA	0.0	0	0	6064646
1285_AT	NA	0.0	0	0	4453687
1030929	NA	0.0	0	0	5863185
1139_J	NA	0.0	0	0	4494273
1021_G	NA	0.0	0	0	6251331
1049059	NA	0.0	0	0	4308727
1048855	NA	0.0	0	0	4738056
1030833	NA	0.0	0	0	5496576
1030917	NA	0.0	0	0	2976284
1030797	NA	0.0	0	0	4099185
1048867	NA	0.0	0	0	7094726
1049080	NA	0.0	0	0	6110985
1030731	NA	0.0	0	0	3063189
1285_BU	NA	0.0	0	0	4737228
1139_G	NA	0.0	0	0	6216231
1049068	NA	0.0	0	0	3591095
1286_BX	NA	0.0	0	0	4584229
1139_BG	NA	0.0	0	0	5764784
1220_L	NA	0.0	0	0	10737000
1286_BL	NA	0.0	0	0	3332762
1036710	NA	0.0	0	0	4980004
1048936	NA	0.0	0	0	6733914
1220_AA	NA	0.0	0	0	5431258
1286_AJ	NA	0.0	0	0	3286271
1048582	NA	0.0	0	0	5546185
1286_X	NA	0.0	0	0	4480805
1285_BA	NA	0.0	0	0	4392776
1139_BL	NA	0.0	0	0	5144408
1030845	NA	0.0	0	0	6627040
1036596	NA	0.0	0	0	5032852
1365_E	NA	0.0	0	0	5215678
1285_I	NA	0.0	0	0	3378248
1220_I	NA	0.0	0	0	6731126
1035978	NA	0.0	0	0	2553826
1021_T	NA	0.0	0	0	3465574
1021_W	NA	0.0	0	0	4944331
1036653	NA	0.0	0	0	5414567
1220_Z	NA	0.0	0	0	5857748
1048912	NA	0.0	0	0	5615200
1220_G	NA	0.0	0	0	6135680
1021_BD	NA	0.0	0	0	6216233
1048900	NA	0.0	0	0	5188649
1285_Z	NA	0.0	0	0	3897410
1049041	NA	0.0	0	0	4983191
1285_AW	NA	0.0	0	0	4411887
1220_BC	NA	0.0	0	0	9535748
1285_K	NA	0.0	0	0	5576214
1286_CH	NA	0.0	0	0	6373796
1049065	NA	0.0	0	0	3769298
1048879	NA	0.0	0	0	9348728
1286_AB	NA	0.0	0	0	4795267
1220_BT	NA	0.0	0	0	4067179
1030956	NA	0.0	0	0	4199435
1036620	NA	0.0	0	0	4015323
1036584	NA	0.0	0	0	3113723
1286_AW	NA	0.0	0	0	3609363
1048786	NA	0.0	0	0	5003741
1036776	NA	0.0	0	0	2439301
1049026	NA	0.0	0	0	3329138
1220_AB	NA	0.0	0	0	3999571
1285_AH	NA	0.0	0	0	3127048
1286_H	NA	0.0	0	0	5044177
1139_CH	NA	0.0	0	0	3851283
1287_AV	NA	0.0	0	0	3845226
1287_BV	NA	0.0	0	0	4644240
1220_AC	NA	0.0	0	0	8318517
1285_T	NA	0.0	0	0	3734711
1030734	NA	0.0	0	0	5027516
1220_CK	NA	0.0	0	0	4016903
1139_F	NA	0.0	0	0	4162808
1021_AG	NA	0.0	0	0	3924586
1030743	NA	0.0	0	0	3607646
1048864	NA	0.0	0	0	8109299
1036764	NA	0.0	0	0	2440900
1139_BQ	NA	0.0	0	0	6551849
1036752	NA	0.0	0	0	3855557
1036797	NA	0.0	0	0	4385506
1030770	NA	0.0	0	0	2490428
1285_CC	NA	0.0	0	0	2879580
1021_A	NA	0.0	0	0	2915358
1036623	NA	0.0	0	0	2144384
1220_CC	NA	0.0	0	0	6840093
1285_BQ	NA	0.0	0	0	7472383
1049029	NA	0.0	0	0	4027503
1049014	NA	0.0	0	0	5936951
1287_CC	NA	0.0	0	0	6230033
1220_BA	NA	0.0	0	0	6432480
1030746	NA	0.0	0	0	3547923
1287_D	NA	0.0	0	0	4375155
1049008	NA	0.0	0	0	5179065
1285_BJ	NA	0.0	0	0	3933177
1030965	NA	0.0	0	0	4765019
1365_B	NA	0.0	0	0	3440670
1048981	NA	0.0	0	0	4293831
1220_BE	NA	0.0	0	0	4819526
1021_BF	NA	0.0	0	0	6071776
