genome	precision	recall	predicted_size	correctly_predicted	real_size
1030869	1.0	1.0	1534116	1534116	1534116
1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553
1220_E	1.0	0.9990489191445325	7275315	7275315	7282241
1287_BN	1.0	0.9989920377080145	4748363	4748363	4753154
1035939	1.0	0.9986937614295875	1597924	1597924	1600014
1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416
1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085
1220_A	1.0	0.9973911316577343	3857105	3857105	3867194
1220_AX	1.0	0.9962335668813802	4231522	4231522	4247520
1048966	1.0	0.9959622793320468	3651621	3651621	3666425
1021_AS	1.0	0.9958596722318239	5552320	5552320	5575404
1048885	0.9997848727036615	0.9952025990301713	12216023	12213395	12272270
1139_CF	1.0	0.994547740962168	6035954	6035954	6069044
1139_CJ	1.0	0.9934462691935593	4629098	4629098	4659636
1049032	1.0	0.9932997059399333	4469949	4469949	4500101
1021_AP	1.0	0.9928821316282959	6629473	6629473	6676999
1035993	1.0	0.9925668943641817	2767477	2767477	2788202
1053040	1.0	0.9919158608804453	7084150	7084150	7141886
1035969	1.0	0.9911961382972974	3575973	3575973	3607735
1030968	1.0	0.9905422096200955	4583323	4583323	4627085
1285_AD	1.0	0.9897310821120187	5662880	5662880	5721635
1036704	1.0	0.9896510562027293	4107997	4107997	4150955
1030881	1.0	0.9892914578191014	3266492	3266492	3301850
1036680	0.9979638499924897	0.98921081641308	4433858	4424830	4473091
1053022	1.0	0.9873191400423709	3637417	3637417	3684135
1036629	1.0	0.9858787188028978	2421118	2421118	2455797
1036683	1.0	0.9849790857978669	4762366	4762366	4834992
1287_W	0.9982069697427348	0.9849331516296058	4151631	4144187	4207582
1287_N	1.0	0.9847355146322081	4417686	4417686	4486165
1053028	1.0	0.9845342865185547	3707382	3707382	3765620
1030737	1.0	0.9842034314328164	3602344	3602344	3660162
1030782	0.9695525020183039	0.9835684198580803	2431497	2357464	2396848
1220_X	1.0	0.9822376078347502	3573127	3573127	3637742
1286_BV	1.0	0.9819405165707245	4283906	4283906	4362694
1139_BF	0.9986884533075869	0.9817479426302937	6218612	6210456	6325917
1220_AR	1.0	0.9804083286758599	4403004	4403004	4490990
1035906	1.0	0.9800355446519887	2499122	2499122	2550032
1049035	1.0	0.9787787377862527	3087997	3087997	3154949
1030905	1.0	0.9785490309241777	3045180	3045180	3111934
1048939	1.0	0.9781867644393712	2893093	2893093	2957608
1053037	0.999379140778798	0.9778293067419438	2668882	2667225	2727700
1035981	1.0	0.9777313684886145	1998611	1998611	2044131
1036701	1.0	0.9769375582003152	2181102	2181102	2232591
1139_B	1.0	0.9755692780040522	4514560	4514560	4627616
1030740	1.0	0.9734709778668474	3170961	3170961	3257376
1036800	1.0	0.9724844768377984	4011621	4011621	4125126
evo_1035921.028	1.0	0.9715700976675352	3058628	3058628	3148129
1053049	1.0	0.9715349178886618	6411600	6411600	6599454
evo_1035921.030	1.0	0.9713352432478555	3028057	3028057	3117417
1030806	1.0	0.9706530096526326	3964011	3964011	4083860
1030896	1.0	0.9689941380902894	2893307	2893307	2985887
1052977	1.0	0.9674318127792305	3483691	3483691	3600968
evo_1030728.001	1.0	0.9671945265840455	2336358	2336358	2415603
1048861	1.0	0.9669907531116642	9419777	9419777	9741331
1021_AQ	1.0	0.9669319594648236	5493037	5493037	5680893
1053055	1.0	0.9582603162931059	4816431	4816431	5026224
1036803	1.0	0.9574393343294842	4944098	4944098	5163876
1287_BD	1.0	0.9517860515351778	4087153	4087153	4294193
1139_CO	1.0	0.9490665311196304	5455764	5455764	5748558
1035951	1.0	0.9463103840860707	2587505	2587505	2734309
1036614	1.0	0.9450061494528255	2348895	2348895	2485587
1021_P	1.0	0.9408987902099063	4138262	4138262	4398201
1286_G	1.0	0.9401421957592178	3117504	3117504	3315992
evo_1286_G.034	1.0	0.9396110835464295	3052725	3052725	3248924
1036566	1.0	0.9349406963951168	2756725	2756725	2948556
1287_BO	1.0	0.9327536119575375	5055380	5055380	5419845
1052950	1.0	0.9264740452198724	5028953	5028953	5428056
1220_CF	1.0	0.9072905841130245	4191384	4191384	4619671
1036635	1.0	0.9061062267756094	2961504	2961504	3268385
1052968	1.0	0.9023489284225437	3487076	3487076	3864443
1285_CF	1.0	0.8951371644761176	3513997	3513997	3925652
1285_BD	1.0	0.8822934039243742	2937685	2937685	3329601
1035921	1.0	0.8758491222490573	2462004	2462004	2810991
1036785	1.0	0.8701985284478073	4334458	4334458	4980999
1030728	1.0	0.8691418439936531	2239264	2239264	2576408
1052941	1.0	0.8647976116325209	4737261	4737261	5477884
1036716	1.0	0.8552551541414627	2245398	2245398	2625413
1052998	1.0	0.8476381655812738	2128611	2128611	2511226
1036695	0.9993592061703485	0.8437204464615989	2862075	2860241	3390034
1049083	1.0	0.8393959876650401	4181274	4181274	4981289
1052953	0.999533256443943	0.8083600059300025	3365874	3364303	4161887
evo_1030728.038	0.9878766788159785	0.7683692578707075	1910945	1887778	2456863
evo_1139_Y.035	1.0	0.6733324329886299	4816223	4816223	7152816
1048978	0.7766249774330306	0.5188153224127285	2409495	1871274	3606821
1048870	0.9618321795548381	0.41823806632116156	4638672	4461624	10667666
1139_T	NA	0.0	0	0	5520095
evo_1035921.008	NA	0.0	0	0	3020708
1030716	NA	0.0	0	0	1857974
1053025	NA	0.0	0	0	3762331
1139_AA	NA	0.0	0	0	4055321
evo_1030728.009	NA	0.0	0	0	2473538
1036731	NA	0.0	0	0	2472183
1286_BD	NA	0.0	0	0	3028188
1048945	NA	0.0	0	0	7222220
1220_BD	NA	0.0	0	0	7278798
1286_BU	NA	0.0	0	0	2936314
1220_BB	NA	0.0	0	0	5505638
1285_BV	NA	0.0	0	0	2939605
1285_BO	NA	0.0	0	0	3571323
1030812	NA	0.0	0	0	3707244
1052974	NA	0.0	0	0	3644343
1285_AK	NA	0.0	0	0	4652222
evo_1030728.011	NA	0.0	0	0	2509968
evo_1286_G.010	NA	0.0	0	0	3139809
1052995	NA	0.0	0	0	6855845
1139_AF	NA	0.0	0	0	4512274
1052965	NA	0.0	0	0	2364702
1036557	NA	0.0	0	0	3459146
1139_AW	NA	0.0	0	0	5592814
1030776	NA	0.0	0	0	2645012
1030800	NA	0.0	0	0	424499
evo_1139_Y.018	NA	0.0	0	0	7291951
1139_AL	NA	0.0	0	0	4823186
1036782	NA	0.0	0	0	2937124
1220_AO	NA	0.0	0	0	7400375
1036011	NA	0.0	0	0	738955
1053031	NA	0.0	0	0	3800076
1287_BC	NA	0.0	0	0	9206646
evo_1030728.035	NA	0.0	0	0	2456477
1053034	NA	0.0	0	0	2535447
1139_Y	NA	0.0	0	0	7149702
1053004	NA	0.0	0	0	2625737
1052959	NA	0.0	0	0	2512984
1021_C	NA	0.0	0	0	9221387
1286_Y	NA	0.0	0	0	3842440
evo_1035921.007	NA	0.0	0	0	3113636
1285_CK	NA	0.0	0	0	3460922
1049011	NA	0.0	0	0	3845886
1048942	NA	0.0	0	0	7189318
1286_AO	NA	0.0	0	0	3907241
1052992	NA	0.0	0	0	6919094
1285_AC	NA	0.0	0	0	3461926
