genome	precision	recall	predicted_size	correctly_predicted	real_size
1286_CM	1.0	0.998417313086016	3798269	3798269	3804290
1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457
1220_N	1.0	0.9930014281910651	3647471	3647471	3673178
1287_I	1.0	0.9894797144095071	4642810	4642810	4692173
1139_CK	1.0	0.9868110461541084	6483167	6483167	6569816
1286_AG	1.0	0.9814978894306731	4573895	4573895	4660117
evo_1036569.031	1.0	0.9794205124707543	3302890	3302890	3372290
1220_BO	1.0	0.9716554716532992	8050974	8050974	8285832
1220_BI	1.0	0.9705251295370936	7878295	7878295	8117559
evo_1048987.032	1.0	0.9701117006476869	3005505	3005505	3098102
1287_CI	1.0	0.9665544212071703	4912046	4912046	5082017
1036662	1.0	0.9642291064527981	3563650	3563650	3695854
1285_CA	1.0	0.9605396234932515	3115103	3115103	3243076
evo_1048972.030	1.0	0.9605231642246955	2939490	2939490	3060301
evo_1036569.028	1.0	0.9497320011004048	3169212	3169212	3336954
1286_Q	1.0	0.9300469580846208	5565853	5565853	5984486
1036674	1.0	0.9276367142164648	2577690	2577690	2778771
1220_W	1.0	0.9061049894474912	4323798	4323798	4771851
1285_U	1.0	0.8859773156175154	4437467	4437467	5008556
1139_CB	1.0	0.8717061545810553	5897922	5897922	6765952
1048969	1.0	0.8297934379450509	3195854	3195854	3851385
1285_C	1.0	0.7914334924654116	3168743	3168743	4003802
evo_1030827.033	1.0	0.6951728179269453	3108142	3108142	4471035
evo_1220_Q.019	NA	0.0	0	0	4911643
1139_O	NA	0.0	0	0	2637439
1286_BE	NA	0.0	0	0	3541971
1052962	NA	0.0	0	0	2504935
1139_C	NA	0.0	0	0	6521026
evo_1220_Q.021	NA	0.0	0	0	4702319
1021_H	NA	0.0	0	0	7479763
1053013	NA	0.0	0	0	7376694
1285_AM	NA	0.0	0	0	4699406
1139_S	NA	0.0	0	0	8064627
1139_BW	NA	0.0	0	0	5262281
1287_BW	NA	0.0	0	0	3422976
1139_V	NA	0.0	0	0	4272847
1021_BE	NA	0.0	0	0	5186693
1286_BJ	NA	0.0	0	0	5868298
1285_BX	NA	0.0	0	0	3246333
1286_AR	NA	0.0	0	0	4708725
evo_1030719.005	NA	0.0	0	0	5073996
1286_AH	NA	0.0	0	0	3944725
evo_1048969.022	NA	0.0	0	0	3530958
1139_M	NA	0.0	0	0	4998990
1139_BN	NA	0.0	0	0	5518398
1139_CG	NA	0.0	0	0	7308131
1021_N	NA	0.0	0	0	7891629
1139_BC	NA	0.0	0	0	5269559
1220_BP	NA	0.0	0	0	5916138
1048972	NA	0.0	0	0	2997087
1139_CP	NA	0.0	0	0	5262480
evo_1052956.020	NA	0.0	0	0	2544999
1285_AR	NA	0.0	0	0	5668097
1285_CB	NA	0.0	0	0	5040230
1286_CA	NA	0.0	0	0	5316856
1285_Q	NA	0.0	0	0	5243722
evo_1048963.038	NA	0.0	0	0	5299365
1285_AQ	NA	0.0	0	0	4404946
1286_AK	NA	0.0	0	0	4454054
1285_BP	NA	0.0	0	0	3783721
1139_CI	NA	0.0	0	0	5262271
1287_AN	NA	0.0	0	0	7584207
1285_CP	NA	0.0	0	0	6528023
1021_Q	NA	0.0	0	0	5434924
1220_B	NA	0.0	0	0	5152746
1030827	NA	0.0	0	0	4401233
1285_D	NA	0.0	0	0	4107932
1036686	NA	0.0	0	0	4591985
1286_BA	NA	0.0	0	0	4658572
evo_1036686.021	NA	0.0	0	0	4393264
evo_1048972.019	NA	0.0	0	0	3013812
1048987	NA	0.0	0	0	3087021
1021_AI	NA	0.0	0	0	5151344
1285_BC	NA	0.0	0	0	4270100
evo_1052962.017	NA	0.0	0	0	2623093
1139_Q	NA	0.0	0	0	6609881
1286_CD	NA	0.0	0	0	5159159
1286_AS	NA	0.0	0	0	4213272
evo_1052956.019	NA	0.0	0	0	2583493
1286_BF	NA	0.0	0	0	4946240
1220_T	NA	0.0	0	0	5811062
1285_BS	NA	0.0	0	0	5333373
1139_CA	NA	0.0	0	0	4365427
1021_I	NA	0.0	0	0	7482256
1285_BB	NA	0.0	0	0	3945713
1286_AN	NA	0.0	0	0	3533256
1053010	NA	0.0	0	0	7479360
evo_1036569.002	NA	0.0	0	0	3128277
evo_1030719.036	NA	0.0	0	0	4419864
1052980	NA	0.0	0	0	4908221
evo_1048975.035	NA	0.0	0	0	4527439
1220_AU	NA	0.0	0	0	4898981
evo_1030719.009	NA	0.0	0	0	4997566
1365_P	NA	0.0	0	0	5897650
1048915	NA	0.0	0	0	5643120
1287_CH	NA	0.0	0	0	6520128
1220_CE	NA	0.0	0	0	4170815
evo_1036686.005	NA	0.0	0	0	4246250
evo_1036569.006	NA	0.0	0	0	3130311
1287_AO	NA	0.0	0	0	5863944
1286_CB	NA	0.0	0	0	3961278
1286_T	NA	0.0	0	0	4720348
1053052	NA	0.0	0	0	5074685
1286_BN	NA	0.0	0	0	4000292
evo_1048963.008	NA	0.0	0	0	5171052
1285_AI	NA	0.0	0	0	5149325
1285_X	NA	0.0	0	0	4001535
evo_1030827.038	NA	0.0	0	0	4221455
1286_F	NA	0.0	0	0	3765568
1220_BL	NA	0.0	0	0	6060169
1021_BA	NA	0.0	0	0	4427657
1286_U	NA	0.0	0	0	4001074
1220_AS	NA	0.0	0	0	2606934
1220_U	NA	0.0	0	0	6057962
1220_F	NA	0.0	0	0	4726632
1287_BF	NA	0.0	0	0	5139341
1139_BH	NA	0.0	0	0	4449724
1287_AL	NA	0.0	0	0	4795224
evo_1036662.017	NA	0.0	0	0	3800028
1286_BH	NA	0.0	0	0	5536190
1285_CD	NA	0.0	0	0	3367037
evo_1220_W.027	NA	0.0	0	0	4757622
1286_AL	NA	0.0	0	0	5256614
1286_A	NA	0.0	0	0	3423756
1286_CN	NA	0.0	0	0	4980070
1139_AP	NA	0.0	0	0	5219205
1139_BD	NA	0.0	0	0	5359561
1220_D	NA	0.0	0	0	8154913
evo_1030719.013	NA	0.0	0	0	4830853
1286_BK	NA	0.0	0	0	4252585
1285_BG	NA	0.0	0	0	3344694
evo_1048963.035	NA	0.0	0	0	5330561
1048909	NA	0.0	0	0	5643643
1220_CG	NA	0.0	0	0	3757101
1139_R	NA	0.0	0	0	6582214
1021_AN	NA	0.0	0	0	7733870
1286_BO	NA	0.0	0	0	5029833
1285_CN	NA	0.0	0	0	4656265
1285_CL	NA	0.0	0	0	3366176
evo_1036674.014	NA	0.0	0	0	3046105
1021_B	NA	0.0	0	0	3621509
1021_M	NA	0.0	0	0	5854787
1048975	NA	0.0	0	0	4449882
1287_G	NA	0.0	0	0	7719546
1286_I	NA	0.0	0	0	4462938
1139_CD	NA	0.0	0	0	6848441
1139_BU	NA	0.0	0	0	3714038
evo_1036569.014	NA	0.0	0	0	3128768
1220_AP	NA	0.0	0	0	5301455
1139_AZ	NA	0.0	0	0	7585659
1052956	NA	0.0	0	0	2511428
1021_AZ	NA	0.0	0	0	7187123
1139_I	NA	0.0	0	0	4869525
evo_1030827.025	NA	0.0	0	0	4548799
evo_1036686.032	NA	0.0	0	0	4640662
evo_1036569.038	NA	0.0	0	0	3386954
1220_BQ	NA	0.0	0	0	6033766
1021_AE	NA	0.0	0	0	7717063
1287_CD	NA	0.0	0	0	3944751
1285_AJ	NA	0.0	0	0	4021923
evo_1220_Q.034	NA	0.0	0	0	4725452
1285_W	NA	0.0	0	0	4744273
evo_1030719.028	NA	0.0	0	0	4482932
1052989	NA	0.0	0	0	4907445
evo_1030719.021	NA	0.0	0	0	4758244
1139_AY	NA	0.0	0	0	5856195
1052983	NA	0.0	0	0	5066578
1053016	NA	0.0	0	0	7620688
1285_AP	NA	0.0	0	0	3953001
1286_BP	NA	0.0	0	0	3977668
1287_AE	NA	0.0	0	0	4266455
