genome	precision	recall	predicted_size	correctly_predicted	real_size
evo_1036569.031	0.8762337867167418	1.0	3848619	3372290	3372290
1286_CM	1.0	0.998417313086016	3798269	3798269	3804290
1286_AT	0.8900291553975154	0.9982360017316081	3982110	3544194	3550457
1139_CK	0.997520029359731	0.9962373375449175	6561368	6545096	6569816
1286_AG	0.9882895551266317	0.9956775763355298	4694954	4639974	4660117
1287_I	0.9995119906134243	0.9943505919325651	4667943	4665665	4692173
1220_N	1.0	0.9930014281910651	3647471	3647471	3673178
1285_U	0.9505389381342398	0.991439648473532	5224069	4965681	5008556
1220_BI	0.9900052214201942	0.987781918185011	8099329	8018378	8117559
1220_BO	0.984139942805067	0.9821720981067441	8269264	8138113	8285832
1287_CI	1.0	0.9721317343094287	4940390	4940390	5082017
evo_1048987.032	0.9755738077417895	0.9714634960372512	3085049	3009693	3098102
evo_1036569.028	0.8907379497958531	0.9693489931236691	3631453	3234673	3336954
1036662	0.9977880307171794	0.9682373816714621	3586397	3578464	3695854
1285_CA	1.0	0.9619564882229094	3119698	3119698	3243076
1220_W	0.9791446635960357	0.9615080185864981	4685899	4588173	4771851
evo_1048972.030	1.0	0.9605231642246955	2939490	2939490	3060301
1286_Q	0.9863485434088849	0.9443462646583182	5729645	5651427	5984486
1036674	1.0	0.9373532399755143	2604690	2604690	2778771
1048969	1.0	0.9054306437813929	3487162	3487162	3851385
1285_C	0.9922789213945954	0.8558392747693317	3453274	3426611	4003802
evo_1030827.033	0.9825657474122379	0.713253418951093	3245565	3188981	4471035
evo_1220_Q.019	NA	0.0	0	0	4911643
1139_O	NA	0.0	0	0	2637439
1286_BE	NA	0.0	0	0	3541971
1052962	NA	0.0	0	0	2504935
1139_C	NA	0.0	0	0	6521026
evo_1220_Q.021	NA	0.0	0	0	4702319
1021_H	NA	0.0	0	0	7479763
1053013	NA	0.0	0	0	7376694
1285_AM	NA	0.0	0	0	4699406
1139_S	NA	0.0	0	0	8064627
1139_BW	NA	0.0	0	0	5262281
1287_BW	NA	0.0	0	0	3422976
1139_V	NA	0.0	0	0	4272847
1021_BE	NA	0.0	0	0	5186693
1286_BJ	NA	0.0	0	0	5868298
1285_BX	NA	0.0	0	0	3246333
1286_AR	NA	0.0	0	0	4708725
evo_1030719.005	NA	0.0	0	0	5073996
1286_AH	NA	0.0	0	0	3944725
evo_1048969.022	NA	0.0	0	0	3530958
1139_M	NA	0.0	0	0	4998990
1139_BN	NA	0.0	0	0	5518398
1139_CG	NA	0.0	0	0	7308131
1021_N	NA	0.0	0	0	7891629
1139_BC	NA	0.0	0	0	5269559
1220_BP	NA	0.0	0	0	5916138
1048972	NA	0.0	0	0	2997087
