genome	precision	recall	predicted_size	correctly_predicted	real_size
1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333
1286_CM	1.0	0.998417313086016	3798269	3798269	3804290
1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257
1286_AT	1.0	0.9982360017316081	3544194	3544194	3550457
1286_BP	0.9995805736624429	0.9981793352285812	3972092	3970426	3977668
1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694
1285_F	1.0	0.9980075448042489	3935519	3935519	3943376
1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971
1220_CE	0.8981311469606313	0.9975649843016293	4632574	4160659	4170815
1287_AF	1.0	0.9962671067551334	3549620	3549620	3562920
1286_AN	1.0	0.995297538587637	3516641	3516641	3533256
1220_AS	1.0	0.9941133914399061	2591588	2591588	2606934
1139_BU	1.0	0.9940321019871095	3691873	3691873	3714038
1287_I	1.0	0.993787313468621	4663022	4663022	4692173
1220_N	1.0	0.9930014281910651	3647471	3647471	3673178
1285_U	0.9505389381342398	0.991439648473532	5224069	4965681	5008556
1220_BI	0.9910497502301878	0.9875689231208544	8089048	8016649	8117559
1139_CK	1.0	0.9868110461541084	6483167	6483167	6569816
evo_1036569.031	1.0	0.9867137760987341	3327485	3327485	3372290
1220_BO	0.984139942805067	0.9821720981067441	8269264	8138113	8285832
1139_M	0.9993434858174406	0.9817105055221155	4910785	4907561	4998990
1286_AG	0.9987527314024981	0.9814978894306731	4579607	4573895	4660117
1285_W	1.0	0.9814277129499083	4656161	4656161	4744273
1139_O	0.9992801721408082	0.9811199424896652	2589508	2587644	2637439
1021_M	0.9670594981035578	0.9805799937726172	5936643	5741087	5854787
evo_1220_W.025	0.9829200051029716	0.9802718009798826	4812882	4730678	4825884
1285_BZ	0.9703661663343838	0.9759529200142079	5555508	5390877	5523706
evo_1048972.019	0.9969034029318433	0.974945351601228	2947429	2938302	3013812
1287_CI	1.0	0.9721317343094287	4940390	4940390	5082017
1220_AU	1.0	0.9716696186411011	4760191	4760191	4898981
evo_1048987.032	0.997855035277323	0.97107874434089	3014968	3008501	3098102
1286_BK	1.0	0.9669182391416045	4111902	4111902	4252585
1286_CB	0.9653288796496257	0.9659337213899151	3963760	3826332	3961278
1220_AV	1.0	0.9647471864909791	4526342	4526342	4691739
1139_AY	0.9979365838732723	0.9645915137730215	5660516	5648836	5856195
1036662	1.0	0.9642291064527981	3563650	3563650	3695854
1285_CA	1.0	0.9619564882229094	3119698	3119698	3243076
evo_1048969.002	1.0	0.9605475885240946	3523789	3523789	3668521
evo_1048972.030	1.0	0.9605231642246955	2939490	2939490	3060301
1286_AV	1.0	0.9604518106610194	3742485	3742485	3896588
1048972	0.9885978576544115	0.9602991171093799	2911295	2878100	2997087
evo_1036569.028	1.0	0.9560997844141693	3190461	3190461	3336954
1220_Q	0.9996459132104042	0.955935500799499	4617512	4615877	4828649
1021_BE	0.7784820995047167	0.9527068596502627	6347478	4941398	5186693
evo_1220_Q.034	0.98137262529931	0.9502358716160909	4575524	4490294	4725452
evo_1048972.034	1.0	0.9500448807706895	2895809	2895809	3048076
evo_1220_Q.030	1.0	0.9472817078021962	4505412	4505412	4756148
evo_1220_Q.019	1.0	0.947039106873199	4651518	4651518	4911643
1139_I	0.8545833720045292	0.945450942340372	5387300	4603897	4869525
evo_1220_Q.021	1.0	0.9447508771735817	4442520	4442520	4702319
1285_AR	0.9855518430884942	0.9436408727655861	5427059	5348648	5668097
1286_BF	0.9996692325286676	0.9348668887882513	4625606	4624076	4946240
1286_Q	1.0	0.9300469580846208	5565853	5565853	5984486
1036674	1.0	0.9276367142164648	2577690	2577690	2778771
1220_W	0.9816385845943937	0.916086860214202	4453197	4371430	4771851
evo_1030827.033	0.9947653523051335	0.9153987835031486	4114317	4092780	4471035
1286_CE	0.999593261717234	0.9146077443226218	4509042	4507208	4928023
evo_1048963.035	0.9996754932369467	0.914258180330363	4875091	4873509	5330561
1286_BH	0.9900118637387244	0.9132901869336132	5107159	5056148	5536190
1285_AI	0.9470916105336566	0.9061981910250373	4926988	4666309	5149325
evo_1048975.026	0.9925048877922104	0.8887180291297081	4020220	3990088	4489712
1048969	1.0	0.8869214581248045	3415876	3415876	3851385
1285_Q	0.9436412506052144	0.8857109511144946	4921809	4644422	5243722
1285_AQ	1.0	0.8789526591245387	3871739	3871739	4404946
1285_CB	0.9872863270555697	0.8761110108070465	4472665	4415801	5040230
evo_1036569.020	1.0	0.8724995059499856	2794718	2794718	3203117
1139_CB	1.0	0.8717061545810553	5897922	5897922	6765952
1285_C	1.0	0.8592657678876228	3440330	3440330	4003802
1048963	0.9039205130830417	0.8586145909451901	5000672	4520210	5264539
1285_AE	1.0	0.857003134225585	4331191	4331191	5053880
1220_C	1.0	0.843968955063999	3706131	3706131	4391312
1053052	0.997023944622299	0.839669654372636	4273778	4261059	5074685
1285_X	1.0	0.8130792308451632	3253565	3253565	4001535
1286_AK	0.9967723887031325	0.7851617874412838	3508477	3497153	4454054
evo_1052962.024	1.0	0.7490897302488768	1915579	1915579	2557209
evo_1036662.017	0.9759629028883462	0.7438832029658728	2896398	2826777	3800028
1285_BC	1.0	0.7295644130114048	3115313	3115313	4270100
1286_CA	0.999003687491171	0.629133269736852	3348347	3345011	5316856
1285_AJ	1.0	0.31504233174031426	1267076	1267076	4021923
1052962	NA	0.0	0	0	2504935
1139_C	NA	0.0	0	0	6521026
1021_H	NA	0.0	0	0	7479763
1053013	NA	0.0	0	0	7376694
1285_AM	NA	0.0	0	0	4699406
1139_S	NA	0.0	0	0	8064627
1139_BW	NA	0.0	0	0	5262281
1287_BW	NA	0.0	0	0	3422976
1139_V	NA	0.0	0	0	4272847
1286_BJ	NA	0.0	0	0	5868298
1286_AR	NA	0.0	0	0	4708725
evo_1030719.005	NA	0.0	0	0	5073996
1286_AH	NA	0.0	0	0	3944725
evo_1048969.022	NA	0.0	0	0	3530958
1139_BN	NA	0.0	0	0	5518398
1139_CG	NA	0.0	0	0	7308131
1021_N	NA	0.0	0	0	7891629
1139_BC	NA	0.0	0	0	5269559
1220_BP	NA	0.0	0	0	5916138
1139_CP	NA	0.0	0	0	5262480
evo_1052956.020	NA	0.0	0	0	2544999
evo_1048963.038	NA	0.0	0	0	5299365
1285_BP	NA	0.0	0	0	3783721
1139_CI	NA	0.0	0	0	5262271
1287_AN	NA	0.0	0	0	7584207
1285_CP	NA	0.0	0	0	6528023
1021_Q	NA	0.0	0	0	5434924
