genome	precision	recall	predicted_size	correctly_predicted	real_size
evo_1030728.011	NA	0.0	0	0	2509968
1139_Y	NA	0.0	0	0	7149702
1021_C	NA	0.0	0	0	9221387
1139_B	NA	0.0	0	0	4627616
1053028	NA	0.0	0	0	3765620
1286_BU	NA	0.0	0	0	2936314
1052968	NA	0.0	0	0	3864443
1052959	NA	0.0	0	0	2512984
evo_1035921.007	NA	0.0	0	0	3113636
1053025	NA	0.0	0	0	3762331
evo_1035921.008	NA	0.0	0	0	3020708
1286_G	NA	0.0	0	0	3315992
1286_AO	NA	0.0	0	0	3907241
1021_P	NA	0.0	0	0	4398201
1052998	NA	0.0	0	0	2511226
1052965	NA	0.0	0	0	2364702
evo_1030728.035	NA	0.0	0	0	2456477
1286_Y	NA	0.0	0	0	3842440
1053004	NA	0.0	0	0	2625737
1220_BB	NA	0.0	0	0	5505638
1021_AS	NA	0.0	0	0	5575404
1021_AQ	NA	0.0	0	0	5680893
evo_1030728.001	NA	0.0	0	0	2415603
1053034	NA	0.0	0	0	2535447
1053037	NA	0.0	0	0	2727700
1287_N	NA	0.0	0	0	4486165
evo_1030728.038	NA	0.0	0	0	2456863
1052974	NA	0.0	0	0	3644343
1285_AC	NA	0.0	0	0	3461926
evo_1030728.009	NA	0.0	0	0	2473538
evo_1286_G.034	NA	0.0	0	0	3248924
1052995	NA	0.0	0	0	6855845
1220_BD	NA	0.0	0	0	7278798
1139_T	NA	0.0	0	0	5520095
1285_BV	NA	0.0	0	0	2939605
1285_CK	NA	0.0	0	0	3460922
1287_BC	NA	0.0	0	0	9206646
1220_AR	NA	0.0	0	0	4490990
1220_AX	NA	0.0	0	0	4247520
evo_1035921.028	NA	0.0	0	0	3148129
1052977	NA	0.0	0	0	3600968
1139_AW	NA	0.0	0	0	5592814
1053022	NA	0.0	0	0	3684135
1048966	NA	0.0	0	0	3666425
1030728	NA	0.0	0	0	2576408
evo_1139_Y.035	NA	0.0	0	0	7152816
1285_BO	NA	0.0	0	0	3571323
evo_1286_G.010	NA	0.0	0	0	3139809
1286_BD	NA	0.0	0	0	3028188
evo_1139_Y.018	NA	0.0	0	0	7291951
1287_BD	NA	0.0	0	0	4294193
evo_1035921.030	NA	0.0	0	0	3117417
1035921	NA	0.0	0	0	2810991
1052992	NA	0.0	0	0	6919094
