genome	precision	recall	predicted_size	correctly_predicted	real_size
1030869	1.0	1.0	1534116	1534116	1534116
1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553
1220_E	1.0	0.9990489191445325	7275315	7275315	7282241
1287_BN	1.0	0.9989920377080145	4748363	4748363	4753154
1035939	1.0	0.9986937614295875	1597924	1597924	1600014
1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416
1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085
1220_A	1.0	0.9973911316577343	3857105	3857105	3867194
1048885	0.9997848727036615	0.9952025990301713	12216023	12213395	12272270
1139_CF	1.0	0.994547740962168	6035954	6035954	6069044
1139_CJ	1.0	0.9934462691935593	4629098	4629098	4659636
1049032	1.0	0.9932997059399333	4469949	4469949	4500101
1021_AP	1.0	0.9928821316282959	6629473	6629473	6676999
1035993	1.0	0.9925668943641817	2767477	2767477	2788202
1053040	1.0	0.9919158608804453	7084150	7084150	7141886
1035969	1.0	0.9911961382972974	3575973	3575973	3607735
1030968	1.0	0.9905422096200955	4583323	4583323	4627085
1285_AD	1.0	0.9897310821120187	5662880	5662880	5721635
1036704	1.0	0.9896510562027293	4107997	4107997	4150955
1030881	1.0	0.9892914578191014	3266492	3266492	3301850
1036680	0.9979638499924897	0.98921081641308	4433858	4424830	4473091
1036629	1.0	0.9858787188028978	2421118	2421118	2455797
1036683	1.0	0.9849790857978669	4762366	4762366	4834992
1287_W	0.9982069697427348	0.9849331516296058	4151631	4144187	4207582
1030737	1.0	0.9842034314328164	3602344	3602344	3660162
1030782	0.9695525020183039	0.9835684198580803	2431497	2357464	2396848
1220_X	1.0	0.9822376078347502	3573127	3573127	3637742
1286_BV	1.0	0.9819405165707245	4283906	4283906	4362694
1139_BF	0.9986884533075869	0.9817479426302937	6218612	6210456	6325917
1035906	1.0	0.9800355446519887	2499122	2499122	2550032
1049035	1.0	0.9787787377862527	3087997	3087997	3154949
1030905	1.0	0.9785490309241777	3045180	3045180	3111934
1048939	1.0	0.9781867644393712	2893093	2893093	2957608
1035981	1.0	0.9777313684886145	1998611	1998611	2044131
1036701	1.0	0.9769375582003152	2181102	2181102	2232591
1030740	1.0	0.9734709778668474	3170961	3170961	3257376
1036800	1.0	0.9724844768377984	4011621	4011621	4125126
1053049	1.0	0.9715349178886618	6411600	6411600	6599454
1030806	1.0	0.9706530096526326	3964011	3964011	4083860
1030896	1.0	0.9689941380902894	2893307	2893307	2985887
1048861	1.0	0.9669907531116642	9419777	9419777	9741331
1053055	1.0	0.9582603162931059	4816431	4816431	5026224
1036803	1.0	0.9574393343294842	4944098	4944098	5163876
1139_CO	1.0	0.9490665311196304	5455764	5455764	5748558
1035951	1.0	0.9463103840860707	2587505	2587505	2734309
1036614	1.0	0.9450061494528255	2348895	2348895	2485587
1036566	1.0	0.9349406963951168	2756725	2756725	2948556
1287_BO	1.0	0.9327536119575375	5055380	5055380	5419845
1052950	1.0	0.9264740452198724	5028953	5028953	5428056
1220_CF	1.0	0.9072905841130245	4191384	4191384	4619671
1036635	1.0	0.9061062267756094	2961504	2961504	3268385
1285_CF	1.0	0.8951371644761176	3513997	3513997	3925652
1285_BD	1.0	0.8822934039243742	2937685	2937685	3329601
1036785	1.0	0.8701985284478073	4334458	4334458	4980999
1052941	1.0	0.8647976116325209	4737261	4737261	5477884
1036716	1.0	0.8552551541414627	2245398	2245398	2625413
1036695	0.9993592061703485	0.8437204464615989	2862075	2860241	3390034
1049083	1.0	0.8393959876650401	4181274	4181274	4981289
1052953	0.999533256443943	0.8083600059300025	3365874	3364303	4161887
1048978	0.7766249774330306	0.5188153224127285	2409495	1871274	3606821
1048870	0.9618321795548381	0.41823806632116156	4638672	4461624	10667666
1048945	NA	0.0	0	0	7222220
1220_AO	NA	0.0	0	0	7400375
1139_AL	NA	0.0	0	0	4823186
1030716	NA	0.0	0	0	1857974
1036011	NA	0.0	0	0	738955
1285_AK	NA	0.0	0	0	4652222
1030776	NA	0.0	0	0	2645012
1036782	NA	0.0	0	0	2937124
1053031	NA	0.0	0	0	3800076
1048942	NA	0.0	0	0	7189318
1049011	NA	0.0	0	0	3845886
1036557	NA	0.0	0	0	3459146
1139_AA	NA	0.0	0	0	4055321
1139_AF	NA	0.0	0	0	4512274
1030812	NA	0.0	0	0	3707244
1036731	NA	0.0	0	0	2472183
1030800	NA	0.0	0	0	424499
