genome	precision	recall	predicted_size	correctly_predicted	real_size
1030869	1.0	1.0	1534116	1534116	1534116
1052998	1.0	1.0	2511226	2511226	2511226
1285_BF	1.0	0.9995929488956459	4164857	4164857	4166553
1030905	1.0	0.9994141906608559	3110111	3110111	3111934
1220_E	0.9997702345764806	0.9990489191445325	7276987	7275315	7282241
1287_BN	1.0	0.9989920377080145	4748363	4748363	4753154
1036680	0.9979836345634696	0.9989367531311123	4477363	4468335	4473091
1035939	1.0	0.9986937614295875	1597924	1597924	1600014
1286_AF	1.0	0.9983504260771608	4771532	4771532	4779416
1285_CG	1.0	0.9978795018061469	3725169	3725169	3733085
1220_AX	1.0	0.9978194334576411	4238258	4238258	4247520
1035906	0.998677786658836	0.9975859126473707	2547244	2543876	2550032
1220_A	1.0	0.9973911316577343	3857105	3857105	3867194
1048885	0.9997853059047739	0.997211110902873	12240672	12238044	12272270
1053022	0.9975465787286284	0.9964721705366388	3680167	3671138	3684135
1048966	0.9944160412796293	0.9959622793320468	3672126	3651621	3666425
1035969	0.9833751092752444	0.9958816265607091	3653618	3592877	3607735
1021_AS	1.0	0.9958596722318239	5552320	5552320	5575404
1139_CF	1.0	0.9954019117343688	6041138	6041138	6069044
1030881	1.0	0.995340490936899	3286465	3286465	3301850
1035951	0.998901430452803	0.9953004579950547	2724452	2721459	2734309
1021_AP	0.9980940526722244	0.9951130740022576	6657057	6644369	6676999
1139_CJ	0.9968220375481066	0.9934462691935593	4643856	4629098	4659636
1139_CO	1.0	0.9934260035299287	5710767	5710767	5748558
1049032	1.0	0.9932997059399333	4469949	4469949	4500101
1035993	0.9983593221561855	0.9925668943641817	2772025	2767477	2788202
1053040	1.0	0.9919158608804453	7084150	7084150	7141886
1036635	1.0	0.9918788637201553	3241842	3241842	3268385
1287_W	0.9972929864761648	0.9917784133499953	4184316	4172989	4207582
1030968	1.0	0.9905422096200955	4583323	4583323	4627085
1285_AD	1.0	0.9903099376314637	5666192	5666192	5721635
1036704	1.0	0.9901246821514567	4109963	4109963	4150955
1052950	0.9971439597607579	0.9896347790074383	5387179	5371793	5428056
1053049	0.9975178592402734	0.9896152015000029	6547171	6530920	6599454
1036701	0.9854885815701864	0.9895018836858162	2241683	2209153	2232591
1286_BV	1.0	0.9887342545683928	4313545	4313545	4362694
1287_N	1.0	0.9884524978461559	4434361	4434361	4486165
1030782	0.9566646863165893	0.9875824416066434	2474310	2367085	2396848
1287_BO	1.0	0.9874505636231294	5351829	5351829	5419845
1021_P	1.0	0.9869796764631721	4340935	4340935	4398201
1036800	0.9849764528904159	0.9868037970234121	4132779	4070690	4125126
1036629	1.0	0.9858787188028978	2421118	2421118	2455797
1220_CF	0.9996921487163238	0.9855128211511166	4554147	4552745	4619671
1036683	1.0	0.9849790857978669	4762366	4762366	4834992
1053028	1.0	0.9845342865185547	3707382	3707382	3765620
1030737	1.0	0.9842034314328164	3602344	3602344	3660162
1036566	0.9984562135253326	0.983334215120893	2903899	2899416	2948556
1220_X	1.0	0.9830447019057427	3576063	3576063	3637742
evo_1030728.001	0.9969104332454363	0.98192749388041	2379298	2371947	2415603
1036695	0.9994493153975499	0.9818680284622514	3330400	3328566	3390034
1139_BF	0.9986884533075869	0.9817479426302937	6218612	6210456	6325917
1220_AR	1.0	0.9804083286758599	4403004	4403004	4490990
1049035	1.0	0.9787787377862527	3087997	3087997	3154949
1048939	1.0	0.9781867644393712	2893093	2893093	2957608
1053037	0.999379140778798	0.9778293067419438	2668882	2667225	2727700
1035981	1.0	0.9777313684886145	1998611	1998611	2044131
evo_1035921.028	1.0	0.9765740222208175	3074381	3074381	3148129
1139_B	1.0	0.9755692780040522	4514560	4514560	4627616
1030728	0.9993624916831612	0.9753400858870179	2514477	2512874	2576408
1030740	1.0	0.9734709778668474	3170961	3170961	3257376
1053004	1.0	0.9722321770992297	2552826	2552826	2625737
1052968	1.0	0.9721439803873417	3756795	3756795	3864443
1030806	1.0	0.971742420161318	3968460	3968460	4083860
evo_1035921.030	0.9992792652465596	0.9713352432478555	3030241	3028057	3117417
1035921	1.0	0.9699127460742493	2726416	2726416	2810991
1030896	1.0	0.9689941380902894	2893307	2893307	2985887
1048861	0.979392590844263	0.9686611613957066	9634593	9436049	9741331
1052977	1.0	0.9674318127792305	3483691	3483691	3600968
1021_AQ	0.9993348728044299	0.9669319594648236	5496693	5493037	5680893
1049083	0.9993568159865359	0.9610263528175137	4790231	4787150	4981289
1053055	1.0	0.9582603162931059	4816431	4816431	5026224
1036803	1.0	0.9574393343294842	4944098	4944098	5163876
1287_BD	1.0	0.9517860515351778	4087153	4087153	4294193
1052941	1.0	0.9502605385583193	5205417	5205417	5477884
1285_CF	1.0	0.9500946594349168	3729741	3729741	3925652
1036614	1.0	0.9450061494528255	2348895	2348895	2485587
1286_G	1.0	0.9401421957592178	3117504	3117504	3315992
evo_1286_G.034	1.0	0.9396110835464295	3052725	3052725	3248924
1036716	1.0	0.9317071256979378	2446116	2446116	2625413
1052953	0.9941634129909452	0.9183170999116507	3844370	3821932	4161887
1048870	0.9763700894493605	0.9083508051339441	9924498	9689983	10667666
1285_BD	1.0	0.8967984452191119	2985981	2985981	3329601
1285_AK	0.9826092861257089	0.8833656261459578	4182347	4109613	4652222
1036785	1.0	0.8701985284478073	4334458	4334458	4980999
1053025	0.9807022485396495	0.8143778418219981	3124250	3063959	3762331
1220_AO	0.9833203027154322	0.7872153775991082	5924508	5825689	7400375
evo_1030728.038	0.9878766788159785	0.7683692578707075	1910945	1887778	2456863
