genome	precision	recall	predicted_size	correctly_predicted	real_size
1220_AX	1.0	0.9962335668813802	4231522	4231522	4247520
1048966	1.0	0.9959622793320468	3651621	3651621	3666425
1021_AS	1.0	0.9958596722318239	5552320	5552320	5575404
1053022	1.0	0.9873191400423709	3637417	3637417	3684135
1287_N	1.0	0.9847355146322081	4417686	4417686	4486165
1053028	1.0	0.9845342865185547	3707382	3707382	3765620
1220_AR	1.0	0.9804083286758599	4403004	4403004	4490990
1053037	0.999379140778798	0.9778293067419438	2668882	2667225	2727700
1139_B	1.0	0.9755692780040522	4514560	4514560	4627616
evo_1035921.028	1.0	0.9715700976675352	3058628	3058628	3148129
evo_1035921.030	1.0	0.9713352432478555	3028057	3028057	3117417
1052977	1.0	0.9674318127792305	3483691	3483691	3600968
evo_1030728.001	1.0	0.9671945265840455	2336358	2336358	2415603
1021_AQ	1.0	0.9669319594648236	5493037	5493037	5680893
1287_BD	1.0	0.9517860515351778	4087153	4087153	4294193
1021_P	1.0	0.9408987902099063	4138262	4138262	4398201
1286_G	1.0	0.9401421957592178	3117504	3117504	3315992
evo_1286_G.034	1.0	0.9396110835464295	3052725	3052725	3248924
1052968	1.0	0.9023489284225437	3487076	3487076	3864443
1035921	1.0	0.8758491222490573	2462004	2462004	2810991
1030728	1.0	0.8691418439936531	2239264	2239264	2576408
1052998	1.0	0.8476381655812738	2128611	2128611	2511226
evo_1030728.038	0.9878766788159785	0.7683692578707075	1910945	1887778	2456863
evo_1139_Y.035	1.0	0.6733324329886299	4816223	4816223	7152816
evo_1030728.011	NA	0.0	0	0	2509968
1139_Y	NA	0.0	0	0	7149702
1021_C	NA	0.0	0	0	9221387
1286_BU	NA	0.0	0	0	2936314
1052959	NA	0.0	0	0	2512984
evo_1035921.007	NA	0.0	0	0	3113636
1053025	NA	0.0	0	0	3762331
evo_1035921.008	NA	0.0	0	0	3020708
1286_AO	NA	0.0	0	0	3907241
1052965	NA	0.0	0	0	2364702
evo_1030728.035	NA	0.0	0	0	2456477
1286_Y	NA	0.0	0	0	3842440
1053004	NA	0.0	0	0	2625737
1220_BB	NA	0.0	0	0	5505638
1053034	NA	0.0	0	0	2535447
1052974	NA	0.0	0	0	3644343
1285_AC	NA	0.0	0	0	3461926
evo_1030728.009	NA	0.0	0	0	2473538
1052995	NA	0.0	0	0	6855845
1220_BD	NA	0.0	0	0	7278798
1139_T	NA	0.0	0	0	5520095
1285_BV	NA	0.0	0	0	2939605
1285_CK	NA	0.0	0	0	3460922
1287_BC	NA	0.0	0	0	9206646
1139_AW	NA	0.0	0	0	5592814
1285_BO	NA	0.0	0	0	3571323
evo_1286_G.010	NA	0.0	0	0	3139809
1286_BD	NA	0.0	0	0	3028188
evo_1139_Y.018	NA	0.0	0	0	7291951
1052992	NA	0.0	0	0	6919094
