genome	precision	recall	predicted_size	correctly_predicted	real_size
1285_BH	1.0	1.0	4566533	4566533	4566533
1030752	1.0	0.9915878721612712	6224913	6224913	6277722
1220_AD	1.0	0.9913242212470104	3450527	3450527	3480725
1036539	0.9994467014996654	0.9911293405383019	4635834	4633269	4674737
1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813
1030836	1.0	0.9892079698949381	4844924	4844924	4897781
1030755	1.0	0.9888646367220181	4563548	4563548	4614937
1036608	1.0	0.9880362864501897	3131747	3131747	3169668
1049089	1.0	0.9796731352317279	3060782	3060782	3124289
1036641	1.0	0.9722467722285261	2557675	2557675	2630685
1030878	1.0	0.949913220869689	3123536	3123536	3288233
1036755	1.0	0.949620931300412	6138099	6138099	6463736
1049005	1.0	0.9471733636688736	3890830	3890830	4107833
1036554	1.0	0.8988888608649923	2387865	2387865	2656463
1048783	1.0	0.8719959101672697	2113344	2113344	2423571
1036728	1.0	0.8495232728983786	1709731	1709731	2012577
1036707	0.9682746743877243	0.8070256047469303	3337712	3231822	4004609
1365_A	0.9995410626575554	0.7626728879042745	5353672	5351215	7016396
1220_AJ	NA	0.0	0	0	2614190
1035900	NA	0.0	0	0	7279109
1048993	NA	0.0	0	0	3633593
1036743	NA	0.0	0	0	5098574
