genome	precision	recall	predicted_size	correctly_predicted	real_size
1030746	0.9477591207767305	1.0	3743486	3547923	3547923
1030743	0.9899907275307269	1.0	3644121	3607646	3607646
1049029	0.9966003025802463	1.0	4041242	4027503	4027503
1048999	0.9907130315767916	1.0	8007780	7933412	7933412
1220_K	1.0	0.9998007728567985	3874202	3874202	3874974
1048582	0.9783324369951922	0.9997327892957051	5667504	5544703	5546185
1287_H	1.0	0.9997138082450929	4041587	4041587	4042744
1285_BX	1.0	0.9997039736835377	3245372	3245372	3246333
1036647	0.9568429531974529	0.9996459696418968	4178576	3998241	3999657
1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912
1365_D	1.0	0.9995697672584279	2787988	2787988	2789188
1048888	0.9988549564005299	0.9995687243282433	8643339	8633442	8637167
1048927	1.0	0.9995179914702538	4929071	4929071	4931448
1048777	1.0	0.9994730924696263	6989952	6989952	6993637
1365_H	0.9939371729785906	0.9993080825302809	3443773	3422894	3425264
1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566
1048930	0.9391301974637511	0.9992635845509749	4690076	4404592	4407838
1286_AW	0.9993917573280773	0.9992239627878936	3608757	3606562	3609363
1048912	1.0	0.9990842712637128	5610058	5610058	5615200
1285_L	0.9889996597445615	0.9990490972658564	5589918	5528427	5533689
1053046	0.9956527199535875	0.9990255230077307	5398548	5375079	5380322
1036563	0.9995335151428162	0.998898834905855	3706444	3704715	3708799
1030872	1.0	0.998869917048626	4742958	4742958	4748324
1036797	0.9955874378229875	0.9988637571126342	4399938	4380523	4385506
1285_H	1.0	0.9987561880744987	3626258	3626258	3630774
1048924	0.9997122367218864	0.9986955846411828	5042339	5040888	5047472
1048774	0.994683517193983	0.9986858480192193	3978194	3957044	3962251
1287_Y	0.9057896116077906	0.9986456763446703	4445635	4026810	4032271
1021_AG	1.0	0.998607751237965	3919122	3919122	3924586
1030929	0.9575719295651802	0.9986033188446212	6114419	5854996	5863185
1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776
1220_AM	0.9985098786657233	0.9985110458770291	3421869	3416770	3421865
1286_M	0.9947027220245188	0.9984594063599735	3905402	3884714	3890708
1286_CM	1.0	0.998417313086016	3798269	3798269	3804290
1036575	0.9946385986385239	0.9983195780142736	5621105	5590968	5600379
1285_AY	1.0	0.9983092351471194	4014458	4014458	4021257
1286_AT	0.8900291553975154	0.9982360017316081	3982110	3544194	3550457
1036599	0.9828760878801085	0.9981799306276496	4387432	4312302	4320165
1286_BP	0.9995805736624429	0.9981793352285812	3972092	3970426	3977668
1030893	0.9039261865050031	0.9981554974448376	3230412	2920054	2925450
1035984	1.0	0.9981263034762484	2774857	2774857	2780066
1285_BG	1.0	0.9981197084097977	3338405	3338405	3344694
1139_CM	0.9280443508386368	0.9980161376025013	3669288	3405262	3412031
1285_F	1.0	0.9980075448042489	3935519	3935519	3943376
1286_BE	1.0	0.9980053478698725	3534906	3534906	3541971
