genome	precision	recall	predicted_size	correctly_predicted	real_size
1285_BH	1.0	1.0	4566533	4566533	4566533
1036554	0.9923238570616737	0.9984852038217735	2672957	2652439	2656463
1220_AD	1.0	0.9973502646718715	3471502	3471502	3480725
1030755	0.997680135323994	0.9971182705202692	4612338	4601638	4614937
1139_AG	0.9982979779074421	0.9963638801931295	7263713	7251350	7277813
1030752	1.0	0.9956100317917869	6250163	6250163	6277722
1048783	0.9421411041311338	0.9928333025935696	2553972	2406202	2423571
1036608	0.9995650835474823	0.9926471794522328	3147731	3146362	3169668
1036641	0.9969770569723561	0.9867707460224239	2603754	2595883	2630685
1036755	0.9998298323793943	0.9844507882128849	6364313	6363230	6463736
1036707	0.9656086754636141	0.9757412021997653	4046631	3907462	4004609
1036728	0.9994252489950775	0.974601717102004	1962589	1961461	2012577
1036743	0.991941338112795	0.9029130498056908	4640969	4603569	5098574
1365_A	0.9989162112342018	0.8342811608694835	5859998	5853647	7016396
1048993	0.9939539845767436	0.7743506220977419	2830790	2813675	3633593
evo_1049056.015	NA	0.0	0	0	3365233
1030878	NA	0.0	0	0	3288233
evo_1049056.039	NA	0.0	0	0	2699770
evo_1286_AP.033	NA	0.0	0	0	3098001
1052944	NA	0.0	0	0	5188144
evo_1286_AP.037	NA	0.0	0	0	3082966
1286_AP	NA	0.0	0	0	2975025
evo_1035930.032	NA	0.0	0	0	2294831
evo_1049056.013	NA	0.0	0	0	3515086
evo_1286_AP.008	NA	0.0	0	0	3383934
1049005	NA	0.0	0	0	4107833
evo_1286_AP.026	NA	0.0	0	0	3210938
1049089	NA	0.0	0	0	3124289
evo_1035930.011	NA	0.0	0	0	2260928
1035900	NA	0.0	0	0	7279109
evo_1035930.029	NA	0.0	0	0	2412130
evo_1049056.031	NA	0.0	0	0	3375491
1036539	NA	0.0	0	0	4674737
1049056	NA	0.0	0	0	3262395
1035930	NA	0.0	0	0	2197372
1052947	NA	0.0	0	0	4767044
1030836	NA	0.0	0	0	4897781
evo_1049056.011	NA	0.0	0	0	3354404
1220_AJ	NA	0.0	0	0	2614190
1053058	NA	0.0	0	0	5189366
