genome	precision	recall	predicted_size	correctly_predicted	real_size
1030746	1.0	1.0	3547923	3547923	3547923
1030743	1.0	1.0	3607646	3607646	3607646
1220_K	1.0	0.9998007728567985	3874202	3874202	3874974
1287_H	1.0	0.9997138082450929	4041587	4041587	4042744
1049029	1.0	0.9996181256724079	4025965	4025965	4027503
1285_AB	1.0	0.9995961979370864	4426124	4426124	4427912
1365_D	1.0	0.9995697672584279	2787988	2787988	2789188
1048927	1.0	0.9995179914702538	4929071	4929071	4931448
1048777	1.0	0.9994730924696263	6989952	6989952	6993637
1365_H	0.9939371729785906	0.9993080825302809	3443773	3422894	3425264
1220_BW	1.0	0.9993031147571084	3592061	3592061	3594566
1048888	1.0	0.9992942130214687	8631071	8631071	8637167
1286_AW	0.9993917573280773	0.9992239627878936	3608757	3606562	3609363
1048912	1.0	0.9990842712637128	5610058	5610058	5615200
1048582	1.0	0.999025275932916	5540779	5540779	5546185
1036563	0.9995335151428162	0.998898834905855	3706444	3704715	3708799
1021_AG	1.0	0.998607751237965	3919122	3919122	3924586
1053046	1.0	0.9985868875505964	5372719	5372719	5380322
1048879	0.9996107735316578	0.9985744584717835	9339036	9335401	9348728
1285_BA	1.0	0.9985701524502957	4386495	4386495	4392776
1220_AM	0.9985098786657233	0.9985110458770291	3421869	3416770	3421865
1286_M	1.0	0.9984594063599735	3884714	3884714	3890708
1048924	1.0	0.998416038761582	5039477	5039477	5047472
1036575	0.9908508375493323	0.9983195780142736	5642593	5590968	5600379
1285_M	0.9800094797447377	0.9983193758846592	5297611	5191709	5200449
1036647	1.0	0.998296353912348	3992843	3992843	3999657
1036599	0.9886628125578896	0.9981799306276496	4361752	4312302	4320165
1030893	0.9039261865050031	0.9981554974448376	3230412	2920054	2925450
1035984	1.0	0.9981263034762484	2774857	2774857	2780066
1139_CM	1.0	0.9980161376025013	3405262	3405262	3412031
1030761	0.9993908359125354	0.9978619517458144	3027099	3025255	3031737
1285_H	1.0	0.9978147910059949	3622840	3622840	3630774
1220_Y	0.9915158832544959	0.9977811009944407	3627720	3596942	3604941
1049059	0.9867609848088389	0.9977575743369214	4356744	4299065	4308727
1139_BV	1.0	0.997750078382171	3812425	3812425	3821022
1220_BT	0.9996073426433033	0.9977247128783857	4059519	4057925	4067179
1285_AN	1.0	0.9976388838512211	4290777	4290777	4300932
1036719	1.0	0.9976376101174123	6601396	6601396	6617028
1035987	0.9599369276602362	0.9976183109222665	2109324	2024818	2029652
1036638	0.9976066548935775	0.9975944546492942	1635368	1631454	1635388
1286_V	1.0	0.9975549715057224	6049723	6049723	6064551
1048855	0.9990614827135433	0.9973208421344112	4729801	4725362	4738056
1036590	0.9987971240917187	0.9973000319777016	4184139	4179106	4190420
1021_O	1.0	0.997183147080051	6488224	6488224	6506552
1286_AU	1.0	0.9971116602625956	4519961	4519961	4533054
1220_BE	1.0	0.9970621592247868	4805367	4805367	4819526
1048960	1.0	0.9970169243102757	3896389	3896389	3908047
1286_AE	0.9996704632139148	0.9968635621995855	4703572	4702022	4716816
1285_I	0.992142871879209	0.9964665116356171	3392970	3366311	3378248
1285_BE	0.9995640404543185	0.9961253240133294	4693096	4691050	4709297
1048867	1.0	0.9961059806960832	7067099	7067099	7094726
1285_BL	0.9843719167473102	0.9959866156715413	4545727	4474686	4492717
1285_BW	0.9989710570002599	0.995885308934939	5656290	5650470	5673816
1139_BG	0.955469566548834	0.9958669743740616	6008520	5740958	5764784
1048903	0.9997065131082394	0.9955693451963487	5346065	5344496	5368281
1021_T	1.0	0.9955029094747364	3449989	3449989	3465574
1048999	1.0	0.9953882390073779	7896825	7896825	7933412
1030911	0.9232685785167409	0.9953555010626778	2157317	1991783	2001077
1139_AQ	0.9988102077292043	0.9951860939376085	4386480	4381261	4402454
1030791	1.0	0.9951453978873412	4246985	4246985	4267703
1220_AF	0.9848397040852299	0.9951162824614413	4572668	4503345	4525446
1030725	1.0	0.9950551492047764	3358337	3358337	3375026
1049071	0.9933820407208972	0.9950281047284913	4978574	4945626	4970338
1048876	0.9978455141901565	0.9946266587661	8967801	8948480	8996823
1021_AH	0.9941417776203451	0.9946026125784813	5764718	5730947	5762047
1036797	1.0	0.9945392846344299	4361558	4361558	4385506
1036551	0.9924057188161151	0.9945206447282642	3120506	3096808	3113870
1139_AR	1.0	0.9944687104543414	4579962	4579962	4605436
1030758	1.0	0.9942965875203064	2961754	2961754	2978743
1139_G	0.999611179966905	0.9942367006631511	6182809	6180405	6216231
1220_AB	0.9679581616765709	0.9942006280173549	4108004	3976376	3999571
1287_D	1.0	0.9940852381229922	4349277	4349277	4375155
1285_E	1.0	0.9940396758430323	4132712	4132712	4157492
1036770	0.9984214296145367	0.9939364779651073	2300816	2297184	2311198
1049080	1.0	0.9938798737028482	6073585	6073585	6110985
1286_E	1.0	0.9938347242623616	5712400	5712400	5747837
1049077	0.9734449007501971	0.9937651721876002	4290739	4176798	4203003
1139_BI	1.0	0.9937597218143099	4774293	4774293	4804273
1286_CF	1.0	0.9936276116558421	4019643	4019643	4045422
1036758	0.99691492569009	0.9936076487874209	4016759	4004367	4030129
1287_C	0.9995382654878617	0.9934126980099384	4112753	4110854	4138113
1030731	0.9973179468755491	0.993234828148051	3050648	3042466	3063189
1220_CD	0.9995836502442154	0.9929861177590785	6184704	6182129	6225796
1049211	1.0	0.992767433546884	3521358	3521358	3547012
1048981	0.9484307492369882	0.9925793539615323	4493705	4261968	4293831
1286_AB	0.9800587671344059	0.9921472568680743	4854414	4757611	4795267
1049062	1.0	0.9920541691277072	3302090	3302090	3328538
1021_BF	1.0	0.9920099160443336	6023262	6023262	6071776
1287_AG	1.0	0.9919920274712808	3834320	3834320	3865273
1220_BK	0.9995083805915603	0.9915507469266757	3685778	3683966	3715358
1139_AS	0.9989647955255095	0.9914039618526386	6248041	6241573	6295691
1035915	0.9960641683240041	0.9913411185075061	1268601	1263608	1274645
1220_V	1.0	0.9913050354506642	6255451	6255451	6310319
1220_L	1.0	0.9912249231628947	10642782	10642782	10737000
1286_CK	1.0	0.9912059316301128	5068366	5068366	5113333
1030764	0.9970615763567813	0.9911935645230273	4688228	4674452	4715983
1286_CO	0.9993920101143509	0.9911807855005459	4429350	4426657	4466044
1048894	1.0	0.9911693274776732	5230798	5230798	5277401
1035975	1.0	0.9909782433305931	6227448	6227448	6284142
1220_I	1.0	0.9908796834288943	6669736	6669736	6731126
1048786	0.9816529419125322	0.9908710302951331	5050728	4958062	5003741
1220_AL	0.9991096502466834	0.9907649874399271	4612794	4608687	4651645
1035990	0.998842976265261	0.9905700088135251	5776891	5770207	5825138
1048771	0.9979703075133359	0.9905337276655736	3886303	3878415	3915480
1049065	0.9945792657180115	0.9904727617715553	3753735	3733387	3769298
1048873	1.0	0.9904048371036234	8683107	8683107	8767230
1021_U	1.0	0.9903771058893198	5759750	5759750	5815714
1285_BT	1.0	0.9903561755172222	5166500	5166500	5216810
1139_BO	0.9671517750870874	0.9899531513832431	5135072	4966394	5016797
1049008	1.0	0.9899041622377784	5126778	5126778	5179065
1030794	1.0	0.9896238346736725	9319922	9319922	9417641
1285_T	0.9995872268623885	0.9894795072496908	3696946	3695420	3734711
1036548	0.9607007695552183	0.9892557620016074	6244906	5999486	6064646
1036587	0.9993576215278843	0.9891431127546603	3912024	3909511	3952422
1049047	0.9993344230182151	0.9891386800476164	3144640	3142547	3177054
1048990	1.0	0.9890929977827498	3239059	3239059	3274777
1220_R	0.9997378650307773	0.9889616156662823	5745132	5743626	5807734
1036002	1.0	0.98891431333727	4099659	4099659	4145616
1286_AD	1.0	0.9888294618376181	4275397	4275397	4323695
1285_G	0.9943790460987914	0.9887343522584514	4792425	4765487	4819785
1021_G	0.9989342253471728	0.9886622544862846	6187049	6180455	6251331
1287_Y	1.0	0.9885823646277743	3986232	3986232	4032271
1048891	1.0	0.988372777833697	3692110	3692110	3735544
1049053	1.0	0.9883700219000567	4772145	4772145	4828298
1048948	1.0	0.9882338941660975	3820196	3820196	3865680
1286_BL	1.0	0.9881860750932709	3293389	3293389	3332762
1139_BS	0.8937570741116737	0.9879093320964276	4337117	3876329	3923770
1035924	1.0	0.9878795523346482	861510	861510	872080
1030722	1.0	0.9877846167008683	3140353	3140353	3179188
1049041	0.9996334309361544	0.9877672760285527	4924038	4922233	4983191
1287_BR	0.6968419850940567	0.987656993013563	8146415	5676764	5747708
