genome	precision	recall	predicted_size	correctly_predicted	real_size
1220_AX	1.0	0.9978194334576411	4238258	4238258	4247520
1048966	0.9944160412796293	0.9959622793320468	3672126	3651621	3666425
1021_AS	1.0	0.9958596722318239	5552320	5552320	5575404
1287_N	1.0	0.9884524978461559	4434361	4434361	4486165
1053022	1.0	0.9873191400423709	3637417	3637417	3684135
1021_P	1.0	0.9869796764631721	4340935	4340935	4398201
1053028	0.9985471787147945	0.9845342865185547	3712776	3707382	3765620
1220_AR	1.0	0.9804083286758599	4403004	4403004	4490990
1139_B	1.0	0.9755692780040522	4514560	4514560	4627616
1053004	1.0	0.9722321770992297	2552826	2552826	2625737
evo_1035921.028	1.0	0.9715700976675352	3058628	3058628	3148129
evo_1035921.030	0.9992792652465596	0.9713352432478555	3030241	3028057	3117417
evo_1030728.001	1.0	0.9671945265840455	2336358	2336358	2415603
1021_AQ	0.9993348728044299	0.9669319594648236	5496693	5493037	5680893
1287_BD	1.0	0.9517860515351778	4087153	4087153	4294193
1286_G	1.0	0.9401421957592178	3117504	3117504	3315992
evo_1286_G.034	1.0	0.9396110835464295	3052725	3052725	3248924
evo_1139_Y.035	0.9839543782092492	0.90831862583911	6602985	6497036	7152816
1052968	1.0	0.9032253807340411	3490463	3490463	3864443
1035921	1.0	0.8758491222490573	2462004	2462004	2810991
1052998	1.0	0.8476381655812738	2128611	2128611	2511226
1053025	0.9807022485396495	0.8143778418219981	3124250	3063959	3762331
evo_1030728.011	NA	0.0	0	0	2509968
1139_Y	NA	0.0	0	0	7149702
1021_C	NA	0.0	0	0	9221387
1286_BU	NA	0.0	0	0	2936314
1052959	NA	0.0	0	0	2512984
evo_1035921.007	NA	0.0	0	0	3113636
evo_1035921.008	NA	0.0	0	0	3020708
1286_AO	NA	0.0	0	0	3907241
1052965	NA	0.0	0	0	2364702
evo_1030728.035	NA	0.0	0	0	2456477
1286_Y	NA	0.0	0	0	3842440
1220_BB	NA	0.0	0	0	5505638
1053034	NA	0.0	0	0	2535447
1053037	NA	0.0	0	0	2727700
evo_1030728.038	NA	0.0	0	0	2456863
1052974	NA	0.0	0	0	3644343
1285_AC	NA	0.0	0	0	3461926
evo_1030728.009	NA	0.0	0	0	2473538
1052995	NA	0.0	0	0	6855845
1220_BD	NA	0.0	0	0	7278798
1139_T	NA	0.0	0	0	5520095
1285_BV	NA	0.0	0	0	2939605
1285_CK	NA	0.0	0	0	3460922
1287_BC	NA	0.0	0	0	9206646
1052977	NA	0.0	0	0	3600968
1139_AW	NA	0.0	0	0	5592814
1030728	NA	0.0	0	0	2576408
1285_BO	NA	0.0	0	0	3571323
evo_1286_G.010	NA	0.0	0	0	3139809
1286_BD	NA	0.0	0	0	3028188
evo_1139_Y.018	NA	0.0	0	0	7291951
1052992	NA	0.0	0	0	6919094
