genome	precision	recall	predicted_size	correctly_predicted	real_size
1285_BH	1.0	1.0	4566533	4566533	4566533
1049005	0.9984580148107386	1.0	4114177	4107833	4107833
1036554	1.0	0.9984852038217735	2652439	2652439	2656463
1030878	1.0	0.9964409456385847	3276530	3276530	3288233
evo_1286_AP.033	1.0	0.9959896720498154	3085577	3085577	3098001
1030752	1.0	0.9956100317917869	6250163	6250163	6277722
1049089	1.0	0.993540930432492	3104109	3104109	3124289
1036608	0.9995650835474823	0.9926471794522328	3147731	3146362	3169668
1036539	0.9986504691375042	0.9918908807062301	4643095	4636829	4674737
1220_AD	1.0	0.9913242212470104	3450527	3450527	3480725
1030755	1.0	0.9907782056396436	4572379	4572379	4614937
1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813
1030836	0.9932727014038064	0.9892079698949381	4877738	4844924	4897781
1036641	0.9969770569723561	0.9867707460224239	2603754	2595883	2630685
1036755	1.0	0.9842659106126859	6362035	6362035	6463736
1048783	0.9612797156945666	0.9763547261458402	2461578	2366265	2423571
1036707	0.9656086754636141	0.9757412021997653	4046631	3907462	4004609
1036728	0.9994252489950775	0.974601717102004	1962589	1961461	2012577
1286_AP	1.0	0.9720536802211747	2891884	2891884	2975025
evo_1049056.031	1.0	0.9210399316721627	3108962	3108962	3375491
1036743	0.991941338112795	0.9029130498056908	4640969	4603569	5098574
1035930	0.8310876037030699	0.8686103217843861	2296581	1908660	2197372
1365_A	0.9989162112342018	0.8342811608694835	5859998	5853647	7016396
evo_1035930.011	1.0	0.7909194808503411	1788212	1788212	2260928
1048993	0.9939539845767436	0.7743506220977419	2830790	2813675	3633593
evo_1035930.029	NA	0.0	0	0	2412130
evo_1035930.032	NA	0.0	0	0	2294831
1052947	NA	0.0	0	0	4767044
evo_1286_AP.008	NA	0.0	0	0	3383934
1053058	NA	0.0	0	0	5189366
evo_1286_AP.037	NA	0.0	0	0	3082966
1052944	NA	0.0	0	0	5188144
1220_AJ	NA	0.0	0	0	2614190
1049056	NA	0.0	0	0	3262395
evo_1049056.039	NA	0.0	0	0	2699770
evo_1049056.013	NA	0.0	0	0	3515086
evo_1049056.011	NA	0.0	0	0	3354404
1035900	NA	0.0	0	0	7279109
evo_1049056.015	NA	0.0	0	0	3365233
evo_1286_AP.026	NA	0.0	0	0	3210938
