genome	precision	recall	predicted_size	correctly_predicted	real_size
evo_1286_AP.033	1.0	0.9959896720498154	3085577	3085577	3098001
1286_AP	1.0	0.9720536802211747	2891884	2891884	2975025
evo_1049056.031	1.0	0.9210399316721627	3108962	3108962	3375491
1035930	0.8310876037030699	0.8686103217843861	2296581	1908660	2197372
evo_1035930.011	1.0	0.7909194808503411	1788212	1788212	2260928
evo_1049056.013	NA	0.0	0	0	3515086
evo_1286_AP.008	NA	0.0	0	0	3383934
1052944	NA	0.0	0	0	5188144
evo_1035930.029	NA	0.0	0	0	2412130
evo_1049056.015	NA	0.0	0	0	3365233
1049056	NA	0.0	0	0	3262395
1053058	NA	0.0	0	0	5189366
evo_1049056.011	NA	0.0	0	0	3354404
evo_1049056.039	NA	0.0	0	0	2699770
evo_1035930.032	NA	0.0	0	0	2294831
1052947	NA	0.0	0	0	4767044
evo_1286_AP.026	NA	0.0	0	0	3210938
evo_1286_AP.037	NA	0.0	0	0	3082966
